町丁,全世代（男）,全世代（女）,0～4歳（男）,0～4歳（女）,5～9歳（男）,5～9歳（女）,10～14歳（男）,10～14歳（女）,15～19歳（男）,15～19歳（女）,20～24歳（男）,20～24歳（女）,25～29歳（男）,25～29歳（女）,30～34歳（男）,30～34歳（女）,35～39歳（男）,35～39歳（女）,40～44歳（男）,40～44歳（女）,45～49歳（男）,45～49歳（女）,50～54歳（男）,50～54歳（女）,55～59歳（男）,55～59歳（女）,60～64歳（男）,60～64歳（女）,65～69歳（男）,65～69歳（女）,70～74歳（男）,70～74歳（女）,75～79歳（男）,75～79歳（女）,80～84歳（男）,80～84歳（女）,85～89歳（男）,85～89歳（女）,90～94歳（男）,90～94歳（女）,95～99歳（男）,95～99歳（女）,100歳以上（男）,100歳以上（女）
市内全域,112575,117965,5214,5067,4983,4749,4821,4573,4941,4799,6668,6801,6697,7135,7721,7663,8568,8323,9492,9239,10260,10090,9095,8719,7129,6763,5611,5440,5930,6380,5225,6198,4356,5810,3202,4753,1901,3358,631,1564,120,449,10,92
飛田給１丁目,1533,1591,46,73,41,40,40,33,68,58,120,117,130,145,134,133,110,92,126,106,133,132,133,143,111,96,80,82,86,94,71,80,55,72,27,37,15,30,7,26,0,2,0,0
飛田給２丁目,1384,1337,56,53,46,47,30,26,44,47,114,106,130,127,116,108,103,101,116,85,113,97,94,96,93,75,65,55,85,81,73,72,51,62,29,52,18,28,6,14,2,4,0,1
飛田給３丁目,1078,1023,46,46,64,55,56,50,54,56,65,59,59,44,75,65,69,64,90,68,98,107,85,63,59,54,47,42,51,51,52,55,57,62,34,31,12,28,4,15,1,7,0,1
上石原１丁目,1495,1451,46,50,53,36,29,37,50,50,119,110,143,162,157,114,99,98,109,117,134,89,112,83,82,66,71,65,85,80,67,73,54,79,49,70,19,42,10,26,5,3,2,1
上石原２丁目,1092,1065,49,50,51,26,38,25,37,50,79,56,71,83,79,72,80,71,91,92,91,75,68,86,61,54,59,48,67,64,54,71,51,41,24,42,28,42,13,14,1,3,0,0
上石原３丁目,2596,2663,88,83,148,126,172,193,179,179,148,125,71,84,104,96,154,160,219,243,307,316,265,237,179,158,135,109,128,132,114,145,87,108,54,103,32,45,11,15,1,5,0,1
富士見町１丁目,644,630,25,19,32,23,26,25,18,18,35,27,33,25,45,30,55,42,40,41,45,40,55,31,34,44,41,45,52,53,42,59,32,29,18,29,8,33,8,14,0,3,0,0
富士見町２丁目,1279,1293,45,38,40,42,48,43,61,41,84,58,67,68,74,70,92,85,85,82,120,90,92,84,74,87,69,79,97,121,87,85,56,68,47,56,33,58,7,28,1,9,0,1
富士見町３丁目,1432,1473,95,81,86,67,75,58,79,64,75,96,55,58,83,77,108,110,111,107,126,107,93,89,73,86,69,93,94,97,66,76,65,73,46,59,23,39,10,27,0,8,0,1
富士見町４丁目,1040,1046,38,32,47,48,52,38,50,44,69,53,60,41,56,39,68,60,69,65,64,72,81,74,61,55,62,65,69,76,61,78,50,63,46,63,25,50,10,24,1,6,1,0
下石原１丁目,1135,1075,36,42,30,41,43,39,43,34,101,82,95,75,100,84,82,62,84,90,85,83,69,85,87,69,67,42,66,65,56,40,39,51,30,32,12,40,7,17,3,2,0,0
下石原２丁目,1194,1175,82,79,38,32,26,38,41,34,65,71,100,97,117,98,109,93,100,86,99,92,91,74,62,68,53,45,57,52,51,65,46,43,33,51,20,32,3,17,1,8,0,0
下石原３丁目,1847,1877,112,92,76,75,76,66,90,66,120,88,87,100,137,123,139,127,144,156,165,157,158,133,122,118,93,97,95,116,75,95,76,91,43,76,30,57,8,33,1,6,0,5
小島町１丁目,1135,1191,70,66,51,50,35,21,47,36,113,74,80,83,102,114,109,108,104,101,93,113,74,95,58,65,49,42,49,65,47,56,26,27,16,23,9,31,3,14,0,5,0,2
小島町２丁目,1383,1418,54,34,30,42,29,38,37,30,101,94,146,106,119,110,110,96,113,94,101,92,77,101,95,90,79,84,79,89,64,80,44,64,47,77,36,59,18,28,4,7,0,3
小島町３丁目,2121,2155,86,71,73,75,77,70,86,105,163,161,161,136,153,126,140,137,159,145,170,175,194,177,157,144,107,124,102,90,98,110,75,113,56,91,46,70,17,26,1,8,0,1
布田１丁目,1154,1257,62,49,32,32,26,23,37,37,72,87,98,109,111,113,116,111,111,110,107,109,90,89,65,87,65,70,61,51,45,65,31,47,13,39,5,24,7,3,0,2,0,0
布田２丁目,1456,1502,32,49,36,42,34,31,56,35,123,107,129,159,169,140,129,97,115,119,115,106,100,103,90,95,78,81,76,77,68,81,40,60,36,54,19,44,9,19,2,3,0,0
布田３丁目,944,1028,51,44,21,21,22,19,34,27,63,73,82,85,93,97,80,74,76,70,81,95,74,72,65,60,47,53,51,68,30,46,40,44,19,31,12,34,3,12,0,3,0,0
布田４丁目,1357,1451,68,93,42,29,34,32,39,48,87,76,149,136,139,149,122,126,123,126,119,120,116,119,100,103,60,53,48,53,38,51,26,46,20,39,17,34,8,14,2,3,0,1
布田５丁目,1143,1165,39,44,49,36,26,34,38,40,80,87,99,83,80,77,80,76,93,79,86,80,81,97,85,75,67,69,80,62,46,62,43,57,39,48,22,40,8,14,2,5,0,0
布田６丁目,902,899,38,44,51,50,58,56,56,40,54,58,54,54,53,49,53,61,76,80,104,96,85,81,55,50,43,30,31,31,33,35,22,34,22,27,8,11,4,10,2,1,0,1
国領町１丁目,1851,2047,92,73,56,54,57,47,51,60,114,140,129,180,163,179,185,195,177,157,169,156,144,154,121,116,77,75,96,109,76,99,69,104,35,67,28,58,10,15,2,8,0,1
国領町２丁目,989,1046,52,50,36,34,44,33,44,53,91,92,64,82,89,79,75,76,82,85,98,111,76,77,72,59,50,41,34,48,26,33,22,32,19,35,13,17,2,7,0,0,0,2
国領町３丁目,1616,2125,40,33,52,48,46,48,64,69,95,111,51,85,45,72,64,76,90,106,105,149,149,167,125,136,94,114,119,169,151,219,147,213,104,150,54,108,17,40,4,10,0,2
