町丁,全世代（男）,全世代（女）,0～4歳（男）,0～4歳（女）,5～9歳（男）,5～9歳（女）,10～14歳（男）,10～14歳（女）,15～19歳（男）,15～19歳（女）,20～24歳（男）,20～24歳（女）,25～29歳（男）,25～29歳（女）,30～34歳（男）,30～34歳（女）,35～39歳（男）,35～39歳（女）,40～44歳（男）,40～44歳（女）,45～49歳（男）,45～49歳（女）,50～54歳（男）,50～54歳（女）,55～59歳（男）,55～59歳（女）,60～64歳（男）,60～64歳（女）,65～69歳（男）,65～69歳（女）,70～74歳（男）,70～74歳（女）,75～79歳（男）,75～79歳（女）,80～84歳（男）,80～84歳（女）,85～89歳（男）,85～89歳（女）,90～94歳（男）,90～94歳（女）,95～99歳（男）,95～99歳（女）,100歳以上（男）,100歳以上（女）
国領町４丁目,1868,1970,124,110,103,93,79,72,53,76,100,147,127,158,171,173,200,187,175,181,190,177,139,116,86,97,76,76,73,66,53,76,60,68,35,54,20,26,3,11,1,3,0,3
国領町５丁目,1827,1786,87,95,79,54,61,60,62,53,108,116,148,132,162,145,155,131,159,152,170,147,121,120,114,89,88,81,89,94,80,98,69,91,45,63,25,35,3,23,2,5,0,2
国領町６丁目,602,614,30,24,22,25,21,25,25,36,32,39,39,36,51,41,45,37,63,52,66,56,47,51,38,27,27,25,22,28,21,26,19,23,16,28,10,19,5,9,3,5,0,2
国領町７丁目,1686,1647,95,78,59,67,90,60,73,75,117,100,102,114,125,113,120,109,133,126,149,154,137,128,131,99,96,68,65,71,54,76,57,71,47,60,23,51,11,19,2,7,0,1
国領町８丁目,2055,2607,59,84,102,119,138,125,101,112,86,87,63,68,67,71,88,122,183,212,235,255,182,172,121,155,107,120,130,177,134,174,95,179,98,166,51,116,13,68,2,15,0,10
染地１丁目,926,1040,36,45,56,68,67,76,43,57,47,44,30,40,53,51,52,46,75,92,122,100,68,71,47,49,37,40,51,63,39,49,46,71,29,40,23,26,5,10,0,2,0,0
染地２丁目,3566,3751,192,177,170,178,196,177,204,186,198,196,121,150,202,205,234,250,284,264,321,342,293,293,237,250,180,190,197,235,208,230,163,197,100,129,51,73,13,23,2,5,0,1
染地３丁目,3024,3297,61,72,99,116,165,154,170,145,143,130,91,84,94,90,136,126,219,198,291,297,274,260,197,165,164,163,189,219,207,274,220,307,162,285,120,158,20,42,1,11,1,1
多摩川１丁目,2325,2238,184,180,181,177,160,135,98,99,77,89,99,96,162,160,250,260,270,259,262,210,176,158,123,97,88,73,72,79,53,68,37,39,21,21,8,23,3,13,1,2,0,0
多摩川２丁目,369,343,9,18,9,16,22,11,17,21,29,20,23,19,20,18,32,18,34,28,37,39,35,13,21,18,20,26,18,21,18,24,18,19,6,6,0,7,1,0,0,1,0,0
多摩川３丁目,2154,2071,84,56,112,107,127,134,131,91,135,96,119,119,125,99,132,151,192,179,227,231,185,152,107,110,101,80,120,118,91,102,88,96,45,76,27,38,5,30,1,4,0,2
多摩川４丁目,449,428,21,25,19,21,19,24,14,13,25,32,47,29,32,30,33,32,45,26,41,39,48,32,15,23,26,19,24,17,12,19,13,18,11,15,3,7,1,7,0,0,0,0
多摩川５丁目,1442,1412,54,57,52,53,47,30,44,40,76,76,106,101,109,99,135,110,126,109,131,99,105,96,93,75,73,76,90,110,85,77,54,67,40,79,17,37,4,15,1,5,0,1
多摩川６丁目,486,496,23,29,28,22,22,18,18,22,34,22,34,30,21,32,46,35,42,45,36,48,40,31,30,27,26,21,20,22,25,31,20,29,10,12,9,14,1,5,1,1,0,0
多摩川７丁目,626,653,10,16,9,15,16,26,28,35,44,40,29,24,43,27,30,21,37,33,47,58,69,63,59,50,47,36,52,55,37,44,32,43,24,25,11,29,1,8,1,4,0,1
佐須町１丁目,404,446,14,18,24,15,21,28,27,25,22,21,16,15,17,13,19,25,30,28,46,44,31,27,15,20,18,17,25,33,25,29,17,19,16,28,16,22,5,15,0,4,0,0
佐須町２丁目,642,631,26,20,32,30,44,35,36,28,31,34,32,30,32,27,44,45,41,44,66,59,54,47,34,36,31,27,36,41,25,25,39,42,17,23,17,23,4,14,1,1,0,0
佐須町３丁目,572,647,22,20,29,32,30,31,23,25,33,39,29,27,26,25,37,47,42,43,52,55,49,49,41,43,27,35,27,32,33,36,32,40,13,32,22,21,5,10,0,5,0,0
佐須町４丁目,960,935,47,56,80,60,69,52,65,49,59,50,41,48,46,44,66,72,84,75,91,90,78,70,63,44,24,40,46,47,39,44,28,38,20,20,10,20,4,11,0,5,0,0
佐須町５丁目,257,268,9,10,9,8,13,8,8,3,21,18,12,14,18,12,18,13,19,23,21,16,25,19,13,10,8,8,13,19,12,20,14,21,14,21,8,16,1,6,1,2,0,1
柴崎１丁目,1728,1821,63,76,62,60,74,72,79,89,92,123,115,125,106,111,114,109,148,130,158,148,158,137,113,126,112,88,113,120,81,90,65,71,35,63,28,44,9,27,3,12,0,0
柴崎２丁目,2349,2519,126,131,137,120,104,122,113,111,121,121,82,93,125,133,161,164,213,192,204,238,187,208,157,138,120,119,134,160,135,132,87,130,75,109,47,68,19,20,2,6,0,4
菊野台１丁目,1141,1247,47,43,25,24,23,38,47,46,87,91,110,147,104,118,103,106,104,108,100,104,80,98,78,51,57,57,54,56,45,42,30,38,25,33,14,30,7,14,1,3,0,0
菊野台２丁目,1489,1577,56,76,57,41,42,36,56,55,77,124,129,136,132,140,111,113,114,112,142,101,99,104,114,112,90,60,77,88,71,76,50,67,31,60,26,43,13,23,2,7,0,3
菊野台３丁目,2018,1897,92,71,128,100,109,108,91,77,143,119,166,119,116,102,139,144,171,196,213,223,173,147,91,81,85,67,98,79,72,80,66,65,34,51,22,40,9,23,0,5,0,0
東つつじケ丘１丁目,406,384,11,20,9,9,7,8,10,20,32,36,46,42,43,36,41,31,38,21,36,32,25,22,20,17,19,15,21,11,21,21,12,7,7,16,7,14,0,4,1,1,0,1
東つつじケ丘２丁目,1221,1259,70,39,53,56,37,32,41,48,66,79,98,94,99,109,104,106,93,99,114,102,100,99,75,72,72,62,50,66,62,59,45,57,25,35,7,29,9,10,1,6,0,0
東つつじケ丘３丁目,1029,1018,49,51,57,43,37,34,40,38,72,56,58,53,71,86,77,77,94,78,89,86,70,77,80,54,53,54,52,45,49,54,34,52,31,34,13,28,2,16,0,2,1,0
西つつじケ丘１丁目,2311,2443,111,109,85,105,84,78,99,93,130,167,173,188,181,169,171,182,208,206,197,221,207,185,155,150,125,110,131,118,82,108,80,108,46,71,34,52,8,16,4,6,0,1
西つつじケ丘２丁目,811,963,50,54,28,37,36,35,35,39,29,47,35,55,59,69,65,76,60,65,73,68,64,65,55,60,50,46,39,50,37,49,33,54,34,36,17,30,7,20,4,5,1,3
西つつじケ丘３丁目,1151,1341,66,48,33,20,14,29,30,49,67,119,110,182,128,152,123,131,135,128,86,86,80,83,71,70,55,45,59,58,41,45,22,31,15,30,10,23,4,9,2,3,0,0
西つつじケ丘４丁目,2575,2754,86,99,108,89,75,80,71,72,78,112,128,134,146,160,209,212,196,216,238,215,209,175,168,140,144,121,164,172,158,183,139,235,161,201,77,98,17,28,2,10,1,2
入間町１丁目,1603,1656,81,70,66,55,58,73,71,67,80,72,94,68,124,111,127,109,114,138,109,125,135,124,106,106,101,94,85,83,78,101,67,86,60,84,31,56,14,25,1,8,1,1
入間町２丁目,1654,1735,148,127,110,96,61,52,79,73,98,85,42,53,107,109,180,184,148,143,140,133,124,113,87,99,75,100,73,89,67,80,44,85,33,57,26,42,11,10,1,4,0,1
入間町３丁目,850,907,56,43,36,33,31,21,34,36,55,56,53,57,59,87,70,65,65,64,59,70,71,76,64,46,39,61,46,34,36,44,34,40,24,34,10,21,7,14,1,4,0,1
仙川町１丁目,1265,1603,51,49,29,27,28,34,33,46,70,126,84,175,111,141,130,161,125,125,113,131,116,121,68,84,57,65,68,75,64,63,54,69,33,51,22,34,8,21,1,4,0,1
仙川町２丁目,1299,1568,147,134,38,53,31,36,42,38,60,86,96,144,140,204,160,173,140,119,99,126,89,92,76,76,45,66,40,49,33,48,24,51,22,30,10,21,5,16,2,6,0,0
仙川町３丁目,710,875,74,48,30,29,22,21,22,27,43,68,41,80,67,92,87,109,71,76,65,84,53,56,41,39,26,33,16,16,17,21,15,23,15,17,4,16,1,14,0,4,0,2
緑ケ丘１丁目,1122,1231,35,47,51,42,30,35,37,43,69,69,63,92,74,85,95,75,85,86,102,88,99,86,59,69,56,57,71,80,54,70,61,79,38,62,29,41,12,20,2,5,0,0
緑ケ丘２丁目,2050,2455,111,107,91,100,81,95,99,91,90,109,84,105,112,150,172,156,167,175,175,174,178,179,138,135,76,92,88,113,96,156,80,174,108,181,75,100,27,50,1,11,1,2
野水１丁目,45,45,0,1,0,4,5,0,3,3,5,0,2,1,3,0,2,3,6,4,5,4,3,7,2,5,2,1,1,3,2,3,3,3,0,1,1,1,0,0,0,1,0,0
野水２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西町,56,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,11,8,10,8,4,7,2,2,4,3,3,3,2,9,9,10,7,17,2,22,0,10,0,3
若葉町１丁目,1214,1368,45,45,56,44,67,44,48,57,51,73,62,82,78,89,91,98,100,113,118,115,96,97,92,84,58,66,71,73,63,74,45,60,35,58,25,55,10,30,3,9,0,2
若葉町２丁目,1069,1227,34,40,31,38,30,27,44,49,67,84,97,103,90,107,67,85,92,86,80,103,105,105,85,77,57,50,50,68,53,60,41,56,21,45,16,23,7,16,1,5,1,0
若葉町３丁目,586,612,32,29,32,34,25,34,32,30,60,51,42,40,45,44,56,49,44,55,38,48,46,45,44,37,26,25,21,17,15,15,7,21,10,14,7,14,3,10,1,0,0,0
調布ケ丘１丁目,915,973,40,45,32,36,39,43,55,50,48,53,61,62,71,68,64,59,73,61,76,88,58,69,66,62,54,46,54,65,57,52,32,49,20,21,10,26,4,13,1,5,0,0
調布ケ丘２丁目,879,826,22,21,23,22,29,32,49,27,82,78,73,67,68,47,62,53,74,52,67,67,74,63,67,66,42,34,43,37,37,53,23,27,25,36,13,27,5,10,1,7,0,0
調布ケ丘３丁目,2492,2591,144,144,138,128,114,123,119,125,137,156,109,106,173,186,204,200,213,221,241,245,231,254,200,150,120,141,117,108,91,109,73,74,42,56,19,39,5,21,2,3,0,2
調布ケ丘４丁目,698,646,20,25,26,20,29,23,35,30,47,34,49,54,68,50,49,30,59,56,57,59,52,54,51,41,38,25,27,33,27,27,27,25,21,24,7,19,8,11,1,4,0,2
深大寺元町１丁目,581,580,17,18,23,15,22,28,21,19,28,15,23,14,38,30,40,33,41,41,48,41,37,38,28,33,39,35,44,50,49,55,43,47,24,34,11,16,3,12,2,5,0,1
深大寺元町２丁目,357,403,19,16,25,26,25,20,16,18,11,19,9,30,20,18,27,30,36,37,35,31,36,38,19,17,25,20,11,15,18,20,6,22,11,13,6,10,2,3,0,0,0,0
深大寺元町３丁目,542,615,25,32,25,30,39,33,34,26,19,16,29,15,22,19,35,34,35,47,58,52,47,62,31,43,31,31,29,24,24,37,27,34,17,33,14,29,1,13,0,3,0,2
深大寺元町４丁目,622,663,23,27,42,30,33,36,30,28,32,30,21,24,29,29,42,42,54,51,45,57,56,47,43,45,44,32,34,37,25,34,33,33,24,31,9,38,2,12,1,0,0,0
深大寺元町５丁目,204,173,5,7,5,13,13,10,5,8,10,5,9,4,11,6,13,12,23,16,23,13,15,13,16,10,8,5,11,14,14,7,9,15,8,10,5,2,1,2,0,1,0,0
深大寺北町１丁目,451,463,20,27,21,15,17,19,23,22,22,37,26,20,22,25,40,27,48,38,44,38,34,41,31,21,20,25,30,28,25,25,14,22,8,14,4,12,2,4,0,3,0,0
深大寺北町２丁目,356,333,24,20,13,11,16,13,16,16,21,24,22,14,19,27,24,28,39,21,31,25,32,24,21,16,16,17,20,18,17,13,7,24,15,12,3,5,0,5,0,0,0,0
深大寺北町３丁目,300,303,13,14,21,17,25,18,19,19,16,12,11,16,14,22,31,20,31,23,21,26,24,28,17,11,11,15,12,15,11,9,7,9,9,10,6,10,1,6,0,3,0,0
深大寺北町４丁目,532,512,24,23,26,28,22,36,29,19,32,19,21,21,30,18,40,36,46,47,46,36,48,42,37,30,31,25,23,31,29,32,23,21,10,22,11,12,3,8,1,5,0,1
深大寺北町５丁目,528,544,24,24,28,31,25,23,27,26,28,27,34,31,25,34,47,41,44,47,57,45,46,44,31,27,20,17,21,28,22,23,23,26,10,20,15,21,1,7,0,2,0,0
深大寺北町６丁目,1009,1065,49,42,74,69,50,39,29,39,34,54,41,42,66,56,85,66,96,104,86,80,63,64,62,60,54,55,65,65,51,64,50,49,22,38,22,52,8,20,2,7,0,0
深大寺北町７丁目,560,556,49,36,33,37,25,26,25,25,29,22,33,41,45,47,53,31,47,60,49,49,47,43,28,21,14,20,19,12,17,27,28,26,12,18,5,8,1,5,1,2,0,0
深大寺東町１丁目,710,635,40,32,35,38,48,30,38,26,28,42,35,38,44,38,49,56,70,57,72,69,55,35,43,36,27,25,44,30,31,26,23,27,20,15,4,7,3,6,1,2,0,0
深大寺東町２丁目,458,470,26,30,28,27,35,27,30,26,34,30,19,25,12,18,35,33,45,43,53,45,38,32,23,28,14,10,23,25,11,19,13,19,12,17,5,10,1,4,1,2,0,0
深大寺東町３丁目,711,729,32,24,37,43,39,38,49,54,43,33,25,22,29,32,37,40,61,43,57,81,65,45,44,50,40,22,40,55,38,37,29,33,25,32,16,27,4,12,1,6,0,0
深大寺東町４丁目,732,729,42,38,36,37,40,44,40,49,41,44,33,32,39,33,56,46,60,64,84,59,67,66,38,37,38,33,33,30,26,40,27,26,18,21,11,17,2,10,1,2,0,1
深大寺東町５丁目,612,605,22,33,27,22,35,33,35,34,42,35,34,30,28,29,40,30,55,46,62,54,48,42,35,41,38,33,35,25,27,32,29,41,14,18,3,17,2,6,1,3,0,1
深大寺東町６丁目,878,978,30,23,30,29,26,38,44,40,46,50,41,41,48,42,42,49,58,59,74,77,78,76,60,66,49,53,60,61,43,64,48,73,55,65,33,44,12,19,1,7,0,2
深大寺東町７丁目,942,951,53,57,68,69,62,61,38,34,45,52,33,39,56,67,84,84,98,80,105,81,62,61,43,52,40,31,38,42,46,47,29,40,26,30,13,18,2,6,1,0,0,0
深大寺東町８丁目,648,684,25,18,28,17,33,20,36,26,37,36,28,33,34,33,35,27,32,34,49,61,63,51,54,49,31,36,42,51,32,38,28,41,31,40,21,41,7,27,2,3,0,2
深大寺南町１丁目,289,279,12,5,14,10,12,18,12,13,19,7,12,17,16,12,15,14,27,18,25,26,20,24,20,15,17,14,17,26,21,20,15,11,8,19,5,3,2,6,0,1,0,0
深大寺南町２丁目,305,279,5,8,15,14,21,14,25,13,21,12,12,8,14,12,15,9,17,18,27,31,29,22,25,28,11,15,19,18,11,15,16,13,14,16,6,8,2,3,0,2,0,0
深大寺南町３丁目,1013,1063,37,43,98,110,113,88,47,66,48,42,16,25,29,18,58,79,131,169,146,126,86,83,58,44,35,41,38,29,26,29,19,26,12,25,14,11,2,5,0,3,0,1
深大寺南町４丁目,346,301,18,9,18,18,13,10,14,8,14,5,21,11,19,13,22,20,30,28,32,29,26,19,15,16,18,14,19,28,19,17,17,23,18,20,6,4,6,6,1,3,0,0
深大寺南町５丁目,675,732,35,37,39,33,46,30,27,46,39,41,29,41,37,45,53,49,58,49,62,74,68,55,40,42,23,23,31,31,32,33,24,34,20,26,6,24,4,15,2,4,0,0
八雲台１丁目,966,965,27,30,35,36,44,39,55,45,66,62,85,64,62,62,68,55,66,68,92,78,66,64,49,46,44,52,72,51,48,51,33,49,40,56,10,30,3,14,1,12,0,1
八雲台２丁目,472,447,16,24,13,12,14,13,20,13,40,32,42,39,44,34,45,35,36,27,43,39,35,33,20,31,26,15,16,31,23,13,16,19,9,13,8,16,3,4,3,4,0,0
