町丁,全世代（男）,全世代（女）,0～4歳（男）,0～4歳（女）,5～9歳（男）,5～9歳（女）,10～14歳（男）,10～14歳（女）,15～19歳（男）,15～19歳（女）,20～24歳（男）,20～24歳（女）,25～29歳（男）,25～29歳（女）,30～34歳（男）,30～34歳（女）,35～39歳（男）,35～39歳（女）,40～44歳（男）,40～44歳（女）,45～49歳（男）,45～49歳（女）,50～54歳（男）,50～54歳（女）,55～59歳（男）,55～59歳（女）,60～64歳（男）,60～64歳（女）,65～69歳（男）,65～69歳（女）,70～74歳（男）,70～74歳（女）,75～79歳（男）,75～79歳（女）,80～84歳（男）,80～84歳（女）,85～89歳（男）,85～89歳（女）,90～94歳（男）,90～94歳（女）,95～99歳（男）,95～99歳（女）,100歳以上（男）,100歳以上（女）
小島町３丁目,2126,2144,91,74,67,77,79,69,82,94,180,166,176,133,137,129,136,142,167,150,178,177,188,178,149,121,97,131,127,93,84,105,75,116,48,92,50,68,14,26,1,2,0,1
布田１丁目,1129,1250,63,58,28,30,24,23,31,34,71,81,84,107,118,129,114,112,113,103,101,99,87,91,71,82,65,77,59,56,45,61,26,47,14,35,9,20,6,3,0,2,0,0
布田２丁目,1437,1497,40,49,42,43,37,36,46,39,113,101,127,147,153,139,136,110,112,118,117,99,95,118,96,75,74,81,81,83,63,75,46,58,31,62,21,43,5,17,2,4,0,0
布田３丁目,943,1010,50,36,19,22,25,22,34,28,56,65,91,95,87,90,80,69,89,78,75,95,76,70,56,64,52,41,53,72,30,43,35,41,23,37,9,29,3,9,0,4,0,0
布田４丁目,1249,1376,57,82,30,28,26,37,37,35,95,81,126,133,140,144,121,125,105,114,105,116,119,105,79,94,52,49,49,56,39,46,26,47,20,38,14,34,7,10,2,1,0,1
布田５丁目,1131,1121,42,43,45,25,21,35,38,42,89,76,94,71,68,70,87,70,84,78,88,89,87,93,81,65,68,74,81,68,47,62,45,56,41,53,15,35,8,11,2,4,0,1
布田６丁目,909,881,44,43,57,51,58,52,51,36,52,52,63,54,51,54,53,58,90,86,93,93,80,74,61,47,35,31,33,32,29,31,24,36,20,28,8,10,4,10,3,2,0,1
国領町１丁目,1859,1989,87,66,59,53,57,41,50,61,126,119,115,167,172,192,191,183,180,170,156,156,146,153,127,102,77,81,97,113,74,94,69,96,33,66,33,49,9,19,1,7,0,1
国領町２丁目,1001,1029,51,45,42,34,45,41,40,46,92,85,72,81,90,77,63,80,100,96,102,110,81,75,73,54,41,46,33,42,28,33,17,30,19,36,11,10,1,6,0,1,0,1
国領町３丁目,1653,2153,44,40,54,54,45,43,76,79,88,116,52,77,47,74,80,78,101,118,116,147,149,184,113,124,97,117,133,184,144,226,152,196,97,151,47,96,17,36,1,11,0,2
国領町４丁目,1691,1761,99,95,83,87,70,62,59,70,105,133,108,153,162,141,169,163,168,156,174,167,122,99,71,87,75,68,67,67,51,64,52,63,34,43,17,27,4,9,1,5,0,2
国領町５丁目,1834,1773,91,88,73,53,56,66,71,57,114,92,155,155,173,152,154,127,173,162,150,141,128,113,102,79,85,84,92,99,79,92,62,89,51,63,20,34,4,20,1,6,0,1
国領町６丁目,601,608,28,26,24,26,20,25,20,37,37,40,47,32,54,42,51,42,56,54,65,53,50,38,30,31,23,21,24,31,22,26,16,23,18,27,8,15,5,13,3,5,0,1
国領町７丁目,1665,1592,79,63,66,68,85,64,83,69,109,98,132,131,106,91,120,117,126,121,162,148,124,118,131,95,89,67,68,70,55,73,50,70,47,56,24,51,7,16,2,6,0,0
国領町８丁目,2098,2639,72,85,117,131,146,132,98,105,80,85,60,73,72,78,113,140,217,250,237,240,158,164,117,153,97,126,159,193,108,167,94,160,97,166,43,103,11,63,2,18,0,7
染地１丁目,903,1008,36,45,59,64,58,63,41,53,43,49,33,34,50,55,54,56,84,92,113,81,58,72,43,44,38,39,53,64,46,56,40,65,30,42,19,23,5,9,0,1,0,1
染地２丁目,3526,3721,189,187,174,185,197,178,196,192,181,177,121,151,220,222,246,248,275,287,332,335,282,270,203,244,203,183,205,245,192,225,155,179,93,132,51,52,10,22,1,6,0,1
染地３丁目,3051,3320,64,79,116,122,163,155,175,146,130,127,91,80,91,88,156,138,235,228,304,298,254,228,196,163,155,171,197,238,214,280,205,313,176,280,106,129,21,46,2,8,0,3
多摩川１丁目,2184,2088,168,163,184,187,140,119,91,88,75,74,82,87,154,125,238,252,284,266,224,194,167,129,109,95,81,72,76,76,53,64,28,29,20,24,8,24,1,15,1,2,0,3
多摩川２丁目,358,340,12,16,9,12,17,15,18,19,29,17,18,23,22,20,36,16,28,32,40,34,31,12,18,19,18,26,21,26,23,20,12,17,5,10,0,5,1,0,0,1,0,0
多摩川３丁目,2157,2033,89,73,108,96,136,130,134,76,119,98,113,104,134,112,132,154,215,186,237,227,158,135,112,100,102,87,132,123,81,102,78,87,46,77,25,40,5,21,1,3,0,2
多摩川４丁目,458,422,20,23,21,21,17,20,16,12,32,33,43,35,37,18,36,37,43,33,41,37,42,30,20,16,30,24,21,16,10,18,14,16,10,17,4,7,1,9,0,0,0,0
多摩川５丁目,1493,1428,65,67,52,48,44,33,49,39,104,85,115,97,124,104,128,118,140,102,118,104,101,96,95,71,69,87,104,107,79,73,49,77,41,70,11,31,4,12,1,6,0,1
多摩川６丁目,488,478,26,30,29,19,21,25,21,20,31,25,30,24,25,25,45,37,43,42,39,44,38,33,32,21,23,20,23,28,23,29,16,26,12,16,7,9,1,4,3,1,0,0
多摩川７丁目,640,667,11,20,8,17,18,23,32,38,39,36,36,25,46,35,29,22,41,39,51,56,68,63,57,49,45,38,54,56,40,46,29,39,25,28,7,25,3,7,1,4,0,1
佐須町１丁目,401,449,15,17,25,18,17,25,31,23,19,19,16,16,17,13,22,32,31,30,45,40,30,27,16,18,21,22,22,32,23,27,16,22,19,33,13,20,3,12,0,3,0,0
佐須町２丁目,636,616,28,23,33,32,43,34,32,26,28,29,36,23,25,32,44,38,45,43,69,66,56,46,32,30,33,28,32,39,27,30,35,38,21,23,12,20,4,13,1,2,0,1
佐須町３丁目,576,649,18,28,29,30,28,22,27,32,32,33,35,30,28,25,42,49,42,50,48,47,48,51,37,41,30,35,33,35,31,31,27,44,20,33,17,18,4,12,0,3,0,0
佐須町４丁目,958,942,58,59,73,62,67,43,64,53,54,47,42,51,49,53,66,67,87,81,92,84,77,74,52,39,27,44,57,50,34,48,27,33,15,18,15,21,2,12,0,2,0,1
佐須町５丁目,260,265,8,8,15,9,10,9,8,3,19,14,16,14,17,11,12,15,27,22,20,16,23,16,12,11,9,11,12,18,12,19,15,21,17,23,6,16,1,7,1,1,0,1
柴崎１丁目,1723,1821,56,74,70,65,77,68,83,89,88,121,112,137,105,119,113,106,157,153,161,143,155,125,113,123,106,90,126,121,72,82,61,69,32,56,27,41,6,31,3,8,0,0
柴崎２丁目,2332,2492,122,119,126,119,119,118,121,125,111,101,95,92,118,137,180,168,192,210,220,232,178,198,153,134,111,120,152,174,113,120,80,125,72,112,52,56,13,22,3,6,1,4
菊野台１丁目,1134,1245,52,46,32,25,30,35,33,44,89,98,109,153,118,125,87,116,106,96,93,98,80,86,75,54,58,53,57,61,38,39,27,34,31,33,11,30,7,15,1,4,0,0
菊野台２丁目,1483,1573,51,70,61,36,42,39,56,58,78,107,138,146,133,149,121,104,126,122,122,105,102,101,102,106,81,62,86,96,64,71,43,66,36,58,31,46,7,19,3,10,0,2
菊野台３丁目,2006,1893,104,77,134,102,100,111,90,77,120,102,169,127,116,115,163,157,187,211,206,218,149,119,84,80,84,62,106,85,74,75,52,62,41,53,20,36,7,19,0,4,0,1
東つつじケ丘１丁目,413,389,8,13,7,6,7,9,10,12,33,38,41,50,42,36,41,29,38,31,38,31,27,16,23,21,18,11,25,16,20,19,15,8,12,27,6,9,1,5,1,1,0,1
東つつじケ丘２丁目,1189,1248,66,38,44,52,38,39,41,49,69,87,91,89,107,108,102,99,92,102,108,109,100,93,85,66,57,56,55,74,54,49,38,58,23,40,6,27,11,9,2,4,0,0
東つつじケ丘３丁目,1000,975,51,41,47,47,28,31,43,37,70,42,44,56,80,80,84,70,90,79,84,80,82,75,62,55,52,49,57,53,41,60,36,42,31,35,13,26,3,15,2,2,0,0
西つつじケ丘１丁目,2269,2390,92,103,92,96,71,81,96,92,140,166,174,184,165,158,188,181,190,190,187,214,205,191,152,146,128,116,132,121,90,111,78,95,42,77,35,42,8,18,4,6,0,2
西つつじケ丘２丁目,789,949,43,49,34,34,34,30,27,41,37,54,30,52,54,66,61,66,66,77,67,62,68,68,51,56,48,48,39,51,35,50,37,47,29,38,17,34,9,15,2,7,1,4
西つつじケ丘３丁目,1109,1282,70,46,23,15,16,31,25,48,66,118,99,171,134,147,133,138,110,113,95,79,76,79,62,61,54,49,58,52,34,44,22,29,15,35,13,14,3,13,1,0,0,0
西つつじケ丘４丁目,2605,2751,87,102,110,88,70,68,61,82,78,93,121,144,150,171,215,217,216,213,240,210,200,162,160,141,141,119,179,197,159,180,153,235,164,199,78,91,18,30,4,7,1,2
入間町１丁目,1588,1632,71,56,64,54,65,65,66,68,88,83,104,74,115,104,123,107,119,133,120,123,131,125,96,101,94,82,92,95,64,107,79,77,46,85,39,56,10,30,2,6,0,1
入間町２丁目,1645,1731,162,129,85,85,72,58,76,75,85,75,54,58,119,149,184,169,140,126,140,144,121,107,86,98,72,95,76,93,58,81,44,76,30,54,30,40,9,12,2,6,0,1
入間町３丁目,788,833,52,37,39,23,23,14,39,37,45,56,43,39,53,83,68,65,59,50,54,68,67,65,52,44,39,52,44,42,32,35,38,43,22,38,10,23,9,15,0,2,0,2
仙川町１丁目,1276,1564,51,43,29,20,28,38,30,45,65,121,91,158,124,151,136,150,122,126,110,131,114,121,65,69,54,66,69,77,65,64,48,64,44,56,18,42,12,15,1,4,0,3
仙川町２丁目,1329,1558,144,134,35,49,31,26,39,41,62,91,108,156,172,203,158,181,146,124,98,106,93,98,61,71,56,58,35,56,25,42,27,51,22,28,10,21,5,16,2,6,0,0
仙川町３丁目,707,887,73,51,31,24,21,21,18,27,44,73,42,85,76,111,86,107,81,74,53,83,50,48,41,37,24,36,18,15,15,24,13,19,18,19,2,17,1,10,0,4,0,2
緑ケ丘１丁目,1120,1216,33,45,39,37,30,37,41,38,64,70,60,79,79,89,102,83,80,71,108,94,92,82,65,71,61,58,71,83,56,79,59,74,39,61,31,47,9,13,1,5,0,0
緑ケ丘２丁目,2001,2378,108,89,81,99,79,91,100,87,90,110,79,91,103,130,162,166,172,161,165,173,166,171,128,127,77,86,103,135,85,158,89,174,115,186,71,82,24,48,2,12,2,2
野水１丁目,42,39,0,2,0,2,4,1,3,2,4,0,1,1,3,0,1,2,5,3,4,4,4,5,3,4,1,1,1,3,4,4,2,2,0,1,1,1,1,0,0,1,0,0
野水２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西町,58,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,10,7,10,8,2,6,3,2,3,3,4,4,4,9,9,11,7,17,0,23,0,12,0,1
若葉町１丁目,1193,1347,47,39,48,47,67,47,47,55,48,69,55,77,93,94,92,85,101,111,119,122,88,96,80,79,59,58,76,81,56,77,43,55,39,60,19,58,12,28,4,8,0,1
若葉町２丁目,1063,1215,34,38,29,32,32,38,42,51,68,87,94,109,93,96,72,85,94,95,74,97,104,104,84,64,46,58,57,68,48,59,43,53,23,41,18,19,6,15,2,5,0,1
若葉町３丁目,550,569,23,29,31,33,24,23,26,37,68,42,40,33,39,38,49,53,42,45,36,46,47,45,41,36,24,22,19,19,15,15,7,18,8,13,8,14,3,7,0,0,0,1
調布ケ丘１丁目,918,979,44,53,39,34,37,42,54,46,41,53,63,60,71,65,69,60,75,76,77,91,69,70,56,51,53,53,60,68,48,49,30,44,21,25,7,25,3,12,1,2,0,0
調布ケ丘２丁目,852,821,24,24,24,25,29,26,50,31,62,76,82,63,60,47,61,51,58,53,74,75,77,62,65,58,36,39,45,40,37,47,27,26,25,39,12,25,4,10,0,4,0,0
調布ケ丘３丁目,2448,2553,149,138,134,117,98,122,133,131,131,139,109,114,176,194,202,195,217,235,226,251,234,236,177,151,120,123,121,124,84,91,67,66,40,61,20,44,6,17,4,2,0,2
調布ケ丘４丁目,684,636,19,25,21,16,29,31,32,25,60,40,53,48,53,41,51,39,53,50,61,59,49,54,50,40,34,24,27,32,33,26,23,28,19,25,9,17,7,9,1,6,0,1
深大寺元町１丁目,571,570,12,13,25,18,19,25,19,18,29,17,23,19,38,27,35,33,48,42,40,42,42,31,36,33,38,33,43,61,54,51,35,46,23,30,10,16,1,8,1,6,0,1
深大寺元町２丁目,354,397,21,18,29,29,19,16,16,21,17,15,9,32,21,15,25,28,38,40,35,33,27,31,19,18,28,23,12,10,14,26,9,20,10,11,3,8,2,3,0,0,0,0
深大寺元町３丁目,526,601,18,31,27,31,37,29,29,24,20,16,26,14,25,20,31,33,39,54,57,57,40,49,33,42,34,30,29,27,24,35,24,33,19,37,13,27,1,7,0,3,0,2
深大寺元町４丁目,626,661,27,30,40,28,30,35,35,24,30,31,22,27,33,28,38,48,54,44,50,62,54,47,45,42,35,34,37,38,27,33,31,27,21,35,11,38,4,8,2,2,0,0
深大寺元町５丁目,205,172,6,6,4,13,13,7,3,10,13,2,11,4,13,6,13,13,21,20,25,11,12,12,18,11,4,6,14,14,15,11,7,10,7,9,4,3,1,2,1,2,0,0
深大寺北町１丁目,476,476,20,27,27,17,23,27,23,24,25,29,25,21,34,32,42,25,51,42,39,42,30,32,34,23,20,29,35,30,20,21,14,29,9,13,2,7,2,3,1,3,0,0
深大寺北町２丁目,347,317,19,20,19,12,10,8,17,21,18,16,22,21,20,18,24,30,36,19,32,28,30,23,23,14,17,12,17,20,18,17,9,18,15,11,1,6,0,3,0,0,0,0
深大寺北町３丁目,287,300,9,11,21,18,24,16,18,20,16,12,10,19,16,17,24,23,32,22,23,30,24,22,15,12,10,14,10,18,11,7,10,10,9,9,4,14,1,4,0,2,0,0
深大寺北町４丁目,526,522,20,26,24,27,22,32,28,20,34,25,18,17,28,21,45,36,45,56,51,34,48,43,30,27,33,20,24,38,31,33,20,18,11,22,12,13,2,10,0,3,0,1
深大寺北町５丁目,521,537,23,23,30,31,27,21,24,29,32,20,26,34,32,36,44,36,52,47,57,44,39,46,27,23,20,18,18,33,21,21,23,28,10,21,14,17,2,8,0,1,0,0
深大寺北町６丁目,1002,1047,53,39,72,73,39,28,30,38,40,58,41,41,70,49,90,79,92,88,79,83,64,61,58,61,52,54,67,67,57,65,41,44,23,45,23,48,10,17,1,8,0,1
深大寺北町７丁目,567,557,53,39,29,32,22,25,26,24,27,23,45,44,57,49,46,35,47,62,51,49,44,34,23,24,12,17,26,19,16,27,26,22,10,16,5,10,2,4,0,2,0,0
深大寺東町１丁目,682,609,46,33,32,37,47,23,36,34,26,35,25,37,43,34,45,54,77,55,62,66,58,37,36,27,33,28,43,35,21,17,25,26,16,18,7,7,3,5,1,1,0,0
深大寺東町２丁目,462,460,31,30,29,26,31,28,32,28,26,21,19,24,13,25,41,36,52,38,48,41,32,38,28,17,15,15,21,21,9,21,16,18,10,16,6,12,3,3,0,2,0,0
深大寺東町３丁目,686,714,25,26,33,35,37,45,45,51,40,32,34,25,25,24,37,40,70,63,54,63,59,43,48,45,35,26,43,59,36,35,25,30,22,30,14,24,3,15,1,3,0,0
深大寺東町４丁目,778,762,54,48,41,47,33,51,47,45,42,37,39,40,48,37,64,58,71,65,81,62,64,61,34,29,37,30,35,36,27,39,28,23,20,28,11,17,2,4,0,4,0,1
深大寺東町５丁目,637,615,30,28,29,29,32,31,38,33,49,39,25,29,38,37,45,28,54,48,64,58,51,44,32,39,38,28,34,28,28,34,34,40,11,18,3,12,1,9,1,2,0,1
深大寺東町６丁目,867,983,29,24,34,33,27,36,43,45,51,55,35,41,42,40,51,53,57,61,78,75,82,72,47,69,50,48,62,60,39,67,45,72,53,68,33,40,8,17,1,6,0,1
深大寺東町７丁目,907,918,55,52,67,70,46,57,35,37,42,39,40,45,52,68,89,80,100,80,88,84,67,51,38,42,34,37,46,47,39,40,29,38,25,28,9,16,3,7,3,0,0,0
深大寺東町８丁目,664,707,22,19,32,19,32,23,45,29,34,41,33,34,29,38,34,23,34,43,58,63,70,54,42,47,31,35,49,47,33,38,25,44,29,37,22,42,8,24,1,4,1,3
深大寺南町１丁目,283,283,13,6,13,16,12,13,17,13,14,12,10,21,16,8,16,11,22,22,22,26,25,17,19,14,14,16,20,29,21,18,12,15,9,17,6,3,2,4,0,2,0,0
深大寺南町２丁目,298,276,5,10,15,9,25,18,25,14,18,14,10,7,17,10,12,10,17,17,31,33,28,27,21,24,13,10,14,22,14,8,11,15,13,17,7,6,2,3,0,2,0,0
深大寺南町３丁目,1025,1069,54,52,107,113,100,79,45,65,45,42,23,20,19,33,79,104,139,157,138,125,76,71,53,45,37,42,40,31,28,27,16,21,11,25,14,10,1,3,0,3,0,1
深大寺南町４丁目,342,309,14,9,20,20,12,14,13,4,16,10,21,9,17,17,26,21,30,33,37,26,19,16,13,19,16,13,22,28,20,22,17,20,19,15,4,4,5,6,1,3,0,0
深大寺南町５丁目,669,746,36,41,38,32,41,35,30,49,30,42,31,35,44,48,53,50,66,55,66,74,59,49,37,42,24,20,33,36,29,31,22,33,16,30,8,28,4,13,2,2,0,1
八雲台１丁目,949,939,24,32,36,34,45,38,49,46,71,48,70,62,69,48,72,65,69,66,84,75,58,60,48,50,46,45,75,58,51,53,33,44,37,61,7,29,5,12,0,12,0,1
八雲台２丁目,474,441,15,20,16,12,16,14,19,17,46,30,29,38,53,28,37,38,41,30,44,44,32,28,21,27,25,16,20,28,18,18,18,17,7,19,10,9,5,4,1,4,1,0
