町丁,全世代（男）,全世代（女）,0～4歳（男）,0～4歳（女）,5～9歳（男）,5～9歳（女）,10～14歳（男）,10～14歳（女）,15～19歳（男）,15～19歳（女）,20～24歳（男）,20～24歳（女）,25～29歳（男）,25～29歳（女）,30～34歳（男）,30～34歳（女）,35～39歳（男）,35～39歳（女）,40～44歳（男）,40～44歳（女）,45～49歳（男）,45～49歳（女）,50～54歳（男）,50～54歳（女）,55～59歳（男）,55～59歳（女）,60～64歳（男）,60～64歳（女）,65～69歳（男）,65～69歳（女）,70～74歳（男）,70～74歳（女）,75～79歳（男）,75～79歳（女）,80～84歳（男）,80～84歳（女）,85～89歳（男）,85～89歳（女）,90～94歳（男）,90～94歳（女）,95～99歳（男）,95～99歳（女）,100歳以上（男）,100歳以上（女）
総数,11682,116443,5182,4983,4953,4687,4702,4477,4951,4802,6532,6500,6698,7094,7874,7708,8716,8444,9789,9426,10070,9893,8804,8329,6717,6380,5485,5434,6316,6765,4967,6049,4174,5525,3199,4859,1843,3120,582,1446,119,424,9,98
飛田給１丁目,1493,1501,41,57,43,34,54,37,62,49,114,119,124,117,122,129,105,82,128,97,138,135,124,134,99,88,73,90,92,93,69,81,58,59,24,40,18,34,5,20,0,5,0,1
飛田給２丁目,1387,1311,70,59,37,44,27,27,54,47,110,103,123,121,125,109,110,91,118,79,111,108,104,89,77,74,65,53,87,85,70,68,47,57,33,57,13,24,5,13,1,2,0,1
飛田給３丁目,1072,993,50,43,66,57,60,49,56,50,61,55,64,44,69,66,71,67,97,73,90,98,83,60,56,49,39,41,60,52,49,59,51,50,31,37,13,24,5,11,1,7,0,1
上石原１丁目,1494,1450,49,53,43,34,37,34,49,51,134,103,131,177,145,97,98,111,134,113,118,81,103,88,84,74,70,51,93,89,58,81,57,71,51,71,22,43,11,23,6,3,1,2
上石原２丁目,1103,1060,50,44,52,29,36,25,52,55,60,57,73,80,93,74,80,85,93,82,82,71,73,84,61,54,61,50,74,67,51,65,40,38,32,47,27,34,13,16,0,3,0,0
上石原３丁目,2622,2683,92,100,163,150,185,188,179,169,114,110,79,74,112,105,166,178,253,283,305,288,239,234,188,151,122,106,140,150,111,136,81,104,51,97,32,41,9,15,1,3,0,1
富士見町１丁目,665,651,25,23,35,19,21,27,22,22,40,28,38,29,54,35,49,41,40,40,51,42,48,41,40,40,42,44,51,59,39,53,33,27,17,30,15,36,4,13,1,2,0,0
富士見町２丁目,1269,1306,44,40,33,41,52,50,61,39,74,59,79,65,74,73,95,84,89,92,115,94,79,82,75,86,66,85,114,126,80,79,53,65,50,63,30,49,5,28,1,5,0,1
富士見町３丁目,1445,1480,102,80,74,52,74,56,82,72,81,102,60,61,98,93,108,115,109,104,124,104,92,87,67,83,80,92,92,96,68,83,59,66,39,62,24,39,11,22,0,9,1,2
富士見町４丁目,1040,1037,39,36,37,45,52,35,48,44,81,50,56,33,56,49,64,60,71,66,69,69,85,69,53,63,67,64,73,79,58,75,52,57,44,63,22,49,12,28,1,3,0,0
下石原１丁目,1142,1096,38,44,38,46,36,36,48,41,83,84,99,72,109,90,88,72,93,76,71,92,82,89,80,62,64,49,72,60,55,45,35,47,28,33,13,42,6,13,4,2,0,1
下石原２丁目,1162,1144,69,72,35,29,28,32,36,42,69,77,96,97,119,92,105,90,103,84,101,84,80,79,58,55,56,40,59,59,46,62,47,51,34,48,16,28,4,15,1,8,0,0
下石原３丁目,1853,1855,94,78,72,77,87,60,86,74,127,81,99,98,145,128,138,137,141,148,179,146,148,138,111,104,88,114,106,110,79,92,63,93,48,73,33,64,8,26,1,10,0,4
小島町１丁目,1100,1166,53,63,51,42,32,25,56,35,90,70,83,90,105,107,113,108,111,102,82,113,80,84,41,65,55,47,52,66,45,52,23,20,14,29,13,28,1,13,0,6,0,1
小島町２丁目,1375,1401,51,37,35,41,29,40,40,27,97,76,142,127,116,102,110,87,114,100,98,90,89,107,84,82,84,80,75,87,59,75,50,76,47,78,38,55,15,24,2,9,0,1
