町丁,全世代（男）,全世代（女）,0～4歳（男）,0～4歳（女）,5～9歳（男）,5～9歳（女）,10～14歳（男）,10～14歳（女）,15～19歳（男）,15～19歳（女）,20～24歳（男）,20～24歳（女）,25～29歳（男）,25～29歳（女）,30～34歳（男）,30～34歳（女）,35～39歳（男）,35～39歳（女）,40～44歳（男）,40～44歳（女）,45～49歳（男）,45～49歳（女）,50～54歳（男）,50～54歳（女）,55～59歳（男）,55～59歳（女）,60～64歳（男）,60～64歳（女）,65～69歳（男）,65～69歳（女）,70～74歳（男）,70～74歳（女）,75～79歳（男）,75～79歳（女）,80～84歳（男）,80～84歳（女）,85～89歳（男）,85～89歳（女）,90～94歳（男）,90～94歳（女）,95～99歳（男）,95～99歳（女）,100歳以上（男）,100歳以上（女）,総数
布田４丁目,1286,1416,61,55,47,47,25,33,33,23,62,93,102,126,139,119,103,116,123,106,105,112,96,120,102,99,92,88,65,71,41,48,36,50,20,41,21,35,10,27,2,6,1,1,2702
布田５丁目,1178,1186,56,38,47,45,47,42,39,42,77,66,97,75,73,65,71,75,91,79,91,84,91,80,70,98,86,88,55,63,67,61,49,56,34,57,25,44,11,19,1,9,0,0,2364
布田６丁目,1056,1045,45,46,52,42,54,50,70,58,54,70,66,68,59,59,66,56,71,79,91,86,103,107,105,93,60,60,47,37,31,32,36,34,21,34,19,17,6,12,0,5,0,0,2101
国領町１丁目,1894,2133,68,69,71,44,50,49,57,64,86,111,170,218,199,206,148,159,150,156,159,171,178,174,127,131,118,123,74,72,85,103,63,94,47,86,27,60,14,31,3,11,0,1,4027
国領町２丁目,953,1059,37,42,29,36,28,31,48,43,70,74,70,89,70,91,66,52,65,64,74,82,99,108,79,91,70,57,47,46,36,52,25,30,18,29,15,28,5,11,2,3,0,0,2012
国領町３丁目,1476,1995,24,24,34,40,46,43,54,56,59,71,61,68,49,68,41,66,53,77,91,108,102,136,133,153,133,157,90,110,113,163,151,245,124,202,93,123,20,66,5,14,0,5,3471
国領町４丁目,1921,2003,74,67,106,104,103,98,94,75,106,134,131,149,121,116,136,155,167,167,188,186,172,173,157,131,104,105,73,81,62,66,49,62,43,60,25,46,10,22,0,5,0,1,3924
国領町５丁目,1818,1819,63,52,89,79,74,55,65,62,103,106,134,143,137,117,122,134,135,114,157,157,181,162,120,123,109,94,81,76,78,76,74,98,64,85,22,50,9,30,1,5,0,1,3637
国領町６丁目,618,648,28,19,24,17,29,28,20,33,29,41,37,56,37,36,39,36,51,41,56,52,65,62,61,48,33,33,30,27,22,18,19,31,12,23,12,24,13,18,1,4,0,1,1266
国領町７丁目,1719,1720,67,66,74,67,61,78,87,75,114,90,123,114,96,102,114,117,122,111,132,118,152,157,139,146,125,98,99,71,62,73,54,73,42,67,33,59,18,28,5,8,0,2,3439
国領町８丁目,1984,2606,52,46,60,75,86,117,127,140,91,104,63,81,66,63,63,87,86,112,163,190,222,264,180,181,138,164,101,135,119,172,150,203,94,181,77,165,41,93,5,30,0,3,4590
染地１丁目,983,1126,51,39,41,53,64,82,75,75,60,63,30,41,38,40,64,74,67,63,77,80,117,120,72,69,46,53,36,44,39,59,42,50,34,70,21,31,8,15,1,4,0,1,2109
染地２丁目,3488,3741,125,115,191,188,186,185,197,180,187,169,117,132,114,140,179,193,249,263,286,259,319,341,302,317,243,244,161,191,184,204,200,227,134,185,74,135,36,64,4,7,0,2,7229
染地３丁目,2458,2737,38,34,66,66,94,113,125,121,142,128,102,92,69,69,101,63,104,113,172,166,239,263,267,249,199,155,131,129,140,179,159,244,160,239,88,201,55,95,5,14,2,4,5195
多摩川１丁目,2631,2601,161,172,186,181,171,170,176,142,104,110,100,102,160,191,206,214,257,243,261,274,283,230,195,155,115,101,88,74,55,74,55,78,36,44,12,19,9,18,0,8,1,1,5232
多摩川２丁目,353,303,6,3,4,10,7,13,19,10,26,21,30,21,29,13,12,10,30,14,26,20,34,40,41,22,24,17,20,19,11,18,18,25,11,16,5,6,0,5,0,0,0,0,656
多摩川３丁目,2153,2031,45,42,72,55,109,110,147,120,196,135,154,86,103,105,116,100,123,136,179,183,216,209,199,158,109,109,94,89,81,89,89,106,71,88,39,62,11,39,0,9,0,1,4184
多摩川４丁目,448,420,9,11,16,19,14,17,18,19,30,33,41,32,27,26,33,28,39,28,44,27,43,40,46,23,19,29,18,16,17,19,16,17,9,15,7,14,2,5,0,2,0,0,868
多摩川５丁目,1460,1435,40,39,52,51,57,53,46,36,94,67,110,108,106,85,87,90,119,115,121,110,132,94,101,110,93,69,71,76,71,88,74,87,48,67,22,52,13,31,3,3,0,4,2895
多摩川６丁目,495,517,8,25,20,21,28,20,21,18,26,30,47,37,31,37,29,29,43,29,45,43,36,45,43,37,26,33,28,17,17,22,19,25,15,25,8,12,4,10,1,2,0,0,1012
多摩川７丁目,582,615,10,14,6,13,12,23,17,23,33,35,33,28,36,24,32,26,36,30,27,29,55,51,66,69,53,51,39,36,42,40,46,48,23,41,10,17,5,14,0,2,1,1,1197
佐須町１丁目,406,424,19,13,21,20,26,15,17,24,29,24,18,19,13,16,18,21,23,26,28,30,47,37,37,29,16,21,19,18,18,30,24,29,12,17,7,18,12,14,2,2,0,1,830
佐須町２丁目,624,629,18,17,21,24,28,29,45,31,38,25,29,30,26,27,37,29,39,39,39,42,67,52,58,51,44,36,23,24,30,37,26,37,32,39,15,36,5,22,4,2,0,0,1253
佐須町３丁目,577,644,18,19,25,21,31,31,30,29,36,32,23,35,23,29,29,23,39,42,43,44,44,50,55,51,45,47,33,42,27,30,30,36,26,29,10,32,8,18,2,4,0,0,1221
佐須町４丁目,1010,945,44,34,54,47,73,59,80,62,69,50,50,45,49,50,43,53,75,74,81,83,100,88,78,71,66,44,29,31,36,37,38,45,26,36,13,16,5,14,1,5,0,1,1955
佐須町５丁目,270,263,10,12,9,13,12,6,13,7,10,7,28,23,13,7,22,20,12,15,22,21,24,16,25,17,11,11,10,9,11,14,14,14,12,26,8,13,4,9,0,3,0,0,533
柴崎１丁目,1654,1745,54,39,54,56,54,53,76,71,95,124,95,93,89,99,96,91,110,109,122,130,155,148,162,134,112,127,104,101,88,105,96,100,50,72,28,51,11,28,3,10,0,4,3399
柴崎２丁目,2227,2375,77,61,118,116,131,130,120,124,111,99,83,83,69,91,101,113,152,146,212,202,211,218,184,183,152,150,112,121,117,144,125,134,66,116,51,91,27,41,7,9,1,3,4602
菊野台１丁目,1179,1334,51,30,30,39,29,33,39,40,86,105,104,139,92,127,93,96,110,109,86,114,102,100,97,101,73,57,53,58,41,47,50,47,19,37,12,31,12,15,0,8,0,1,2513
菊野台２丁目,1429,1548,39,30,43,63,62,47,43,40,91,105,109,157,119,104,112,108,100,107,96,108,142,113,100,105,97,103,81,66,55,74,67,67,37,57,23,51,10,32,3,11,0,0,2977
菊野台３丁目,1961,1834,51,45,96,69,101,91,112,100,171,111,174,116,100,94,90,88,137,130,143,183,214,223,171,153,96,79,76,75,87,64,54,80,56,66,20,37,11,21,1,8,0,1,3795
東つつじケ丘１丁目,517,562,25,26,13,26,16,12,10,15,25,48,45,47,66,60,45,67,48,52,42,44,47,40,37,35,19,21,16,12,20,14,16,15,13,11,9,6,5,9,0,2,0,0,1079
東つつじケ丘２丁目,1100,1159,32,29,63,32,49,60,30,32,47,64,80,94,96,90,70,78,95,90,87,88,100,101,80,70,68,68,60,56,41,46,55,62,29,51,12,25,5,18,1,1,0,4,2259
東つつじケ丘３丁目,1145,1158,49,46,60,67,77,64,40,44,54,52,65,61,71,84,80,78,86,100,102,89,93,82,77,78,86,58,53,49,47,57,48,46,26,48,19,29,12,14,0,12,0,0,2303
西つつじケ丘１丁目,2466,2553,107,91,104,105,102,115,99,96,139,142,176,211,144,155,173,162,186,193,213,203,199,218,204,189,160,151,131,111,116,111,87,108,68,89,37,66,18,28,3,8,0,1,5019
西つつじケ丘２丁目,794,948,38,35,39,41,29,41,38,36,29,48,49,56,43,59,60,56,63,64,54,77,70,73,65,66,52,54,49,46,31,52,35,44,19,44,21,34,7,15,3,6,0,1,1742
西つつじケ丘３丁目,1184,1399,58,43,47,44,30,25,19,28,42,101,116,201,118,170,119,107,108,114,131,106,80,100,79,76,65,74,52,48,53,49,35,40,22,31,9,20,1,18,0,4,0,0,2583
西つつじケ丘４丁目,2584,2840,76,75,86,89,95,91,97,79,101,122,129,144,141,162,135,158,184,183,206,224,237,235,209,209,200,161,141,132,139,143,128,192,131,193,99,164,46,68,3,13,1,3,5424
入間町１丁目,1504,1669,40,54,62,61,67,57,66,76,89,84,82,78,64,66,100,100,108,106,110,143,126,128,136,122,106,110,89,94,78,74,73,109,50,82,38,68,14,43,6,12,0,2,3173
入間町２丁目,1811,1994,77,68,150,131,139,130,68,79,77,79,59,51,48,61,108,129,197,199,169,165,158,149,126,118,110,111,79,93,61,89,77,98,56,101,28,61,21,53,2,27,1,2,3805
入間町３丁目,914,974,60,37,50,59,52,37,39,30,34,36,51,59,50,61,62,64,65,77,80,80,70,80,66,76,61,54,42,57,37,33,39,47,27,31,17,29,11,19,1,8,0,0,1888
仙川町１丁目,1277,1569,45,36,44,32,38,29,28,39,62,104,92,176,121,160,108,114,109,118,114,118,109,124,107,120,70,92,47,56,64,67,49,69,37,49,21,37,11,19,1,9,0,1,2846
仙川町２丁目,1402,1670,84,73,111,101,43,60,59,65,64,98,101,132,108,148,121,166,152,148,137,127,115,131,78,93,76,76,47,68,35,49,30,42,17,44,17,27,5,16,2,6,0,0,3072
仙川町３丁目,717,889,44,34,33,25,36,28,20,24,30,47,57,96,70,81,49,84,76,84,54,66,59,87,54,62,42,32,24,26,19,22,19,18,11,25,15,17,5,21,0,7,0,3,1606
緑ケ丘１丁目,1072,1163,34,38,38,48,49,42,39,44,48,57,71,64,55,61,67,70,98,82,88,92,98,76,85,77,57,78,60,55,54,66,48,61,38,64,24,54,16,20,5,12,0,2,2235
緑ケ丘２丁目,1892,2319,85,82,92,119,96,90,67,87,96,96,84,94,92,106,119,138,152,155,156,150,152,177,167,162,134,144,83,96,65,121,83,139,61,141,62,125,34,69,11,26,1,2,4211
野水１丁目,66,66,2,3,1,3,0,3,3,1,7,6,8,0,5,7,5,3,4,6,7,5,9,5,4,8,2,5,2,     ,1,4,2,3,4,2,0,2,0,0,0,0,0,0,132
野水２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西町,38,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,6,10,7,5,11,2,1,3,2,2,3,1,8,3,8,1,10,0,4,0,2,102
若葉町１丁目,1262,1431,46,27,69,65,57,56,72,58,78,81,70,86,51,84,70,89,92,125,111,115,117,115,93,100,92,77,57,73,60,57,55,72,31,56,31,44,6,32,4,18,0,1,2693
若葉町２丁目,996,1226,33,34,30,29,31,39,35,38,54,92,74,96,77,92,61,84,61,60,67,91,78,97,94,105,77,85,65,48,44,52,48,63,39,54,16,45,10,14,2,7,0,1,2222
若葉町３丁目,594,627,26,21,29,37,33,35,31,28,44,50,36,47,25,40,46,36,55,56,61,53,44,53,42,42,41,33,22,24,18,12,19,19,6,17,8,12,6,9,2,3,0,0,1221
調布ケ丘１丁目,1273,1411,91,98,68,88,44,53,41,46,65,58,52,68,80,112,141,131,125,115,111,102,85,105,80,87,68,76,61,55,58,75,54,52,29,49,11,18,9,17,0,6,0,0,2684
調布ケ丘２丁目,1001,964,57,48,38,42,29,25,43,37,75,54,72,72,76,79,94,61,73,81,88,63,64,65,72,82,73,65,39,33,33,38,31,35,16,30,17,32,8,17,3,4,0,1,1965
調布ケ丘３丁目,2520,2660,96,119,135,133,134,126,101,128,134,153,135,134,134,142,169,158,199,199,197,205,236,258,208,231,215,174,127,138,101,111,88,102,63,77,29,40,13,25,6,6,0,1,5180
調布ケ丘４丁目,727,663,27,28,27,21,28,22,42,20,57,42,64,49,47,49,57,54,48,37,57,52,53,60,53,51,41,43,31,25,24,24,30,31,18,22,15,23,6,8,2,2,0,0,1390
深大寺元町１丁目,547,541,13,14,19,17,29,24,16,18,30,19,20,7,24,20,28,24,36,40,44,37,45,35,30,38,36,30,37,34,38,39,39,53,38,45,15,30,8,13,1,4,1,0,1088
深大寺元町２丁目,354,389,18,16,17,20,23,27,24,15,14,17,10,16,15,19,23,21,28,27,35,36,32,40,32,26,23,25,18,14,13,17,16,14,6,18,5,11,2,8,0,2,0,0,743
深大寺元町３丁目,550,640,19,13,34,38,32,37,31,32,36,34,16,12,22,20,24,29,46,41,28,38,63,60,45,59,33,38,28,38,26,31,16,23,23,44,14,24,13,20,1,8,0,1,1190
深大寺元町４丁目,610,652,14,21,31,31,41,30,42,34,28,23,17,26,22,23,22,30,50,42,53,58,44,59,60,55,41,43,43,23,25,35,29,35,26,35,19,24,3,18,0,7,0,0,1262
深大寺元町５丁目,205,186,4,1,4,4,8,15,9,8,11,10,12,10,10,8,5,7,17,10,21,19,23,17,19,15,14,15,11,5,7,11,11,10,11,10,6,9,2,2,0,0,0,0,391
深大寺北町１丁目,500,525,15,19,26,33,26,24,20,24,26,32,24,32,25,23,24,24,50,46,52,38,49,51,38,40,32,26,20,20,25,26,28,25,12,16,6,14,2,11,0,1,0,0,1025
深大寺北町２丁目,358,318,22,9,18,12,20,11,14,15,16,17,15,20,20,16,28,23,24,22,29,28,36,23,33,27,21,15,16,12,11,14,13,20,9,19,9,10,4,3,0,2,0,0,676
深大寺北町３丁目,374,351,11,24,23,25,18,14,28,18,26,13,17,17,22,26,28,21,40,33,26,34,37,24,23,28,23,16,16,14,10,15,10,10,7,7,6,5,3,5,0,2,0,0,725
深大寺北町４丁目,506,512,15,16,24,25,34,27,25,35,29,24,13,18,24,21,19,18,41,32,48,45,48,45,44,36,37,35,26,27,20,23,23,31,21,27,10,15,5,10,0,2,0,0,1018
深大寺北町５丁目,554,570,31,31,27,23,29,27,23,27,27,27,32,32,33,38,37,48,56,45,47,44,66,47,33,37,37,27,16,21,15,26,21,21,10,26,7,13,5,10,2,0,0,0,1124
深大寺北町６丁目,1079,1174,40,51,62,64,76,74,56,60,42,44,29,43,40,51,83,67,97,94,97,106,99,97,71,72,62,67,50,54,52,52,54,66,47,45,13,33,7,29,2,5,0,0,2253
深大寺北町７丁目,584,592,43,33,41,35,23,37,26,37,19,33,36,32,45,38,48,44,41,31,61,53,44,55,46,39,36,24,15,20,15,9,18,19,17,28,6,16,4,5,0,3,0,1,1176
深大寺東町１丁目,642,610,20,23,24,25,31,33,47,31,33,32,30,36,43,31,33,34,41,46,59,50,71,62,46,44,48,40,23,26,33,25,30,25,12,29,12,9,4,6,2,2,0,1,1252
深大寺東町２丁目,427,446,9,8,20,22,28,25,35,24,23,34,20,27,22,21,10,15,30,31,42,33,48,50,44,39,26,24,15,16,20,20,12,18,11,19,9,11,3,6,0,2,0,1,873
深大寺東町３丁目,795,846,29,36,44,50,43,44,51,40,46,50,22,30,35,43,50,46,62,57,64,61,68,83,67,55,55,50,38,27,31,43,37,45,23,29,16,25,13,26,1,2,0,4,1641
深大寺東町４丁目,717,709,22,27,46,29,46,43,46,39,37,45,44,42,27,30,30,39,51,39,64,58,71,60,70,63,38,42,30,30,30,31,29,39,17,25,11,13,7,12,1,3,0,0,1426
深大寺東町５丁目,649,649,36,25,27,33,26,27,32,30,46,39,42,38,42,40,37,34,48,42,58,40,53,60,56,55,31,39,38,28,20,20,26,27,20,39,9,17,1,9,1,6,0,1,1298
深大寺東町６丁目,845,928,22,19,30,20,34,35,34,35,40,33,28,42,36,42,39,37,45,44,64,53,84,88,75,84,76,70,42,54,49,53,50,59,37,63,33,51,22,33,5,13,0,0,1773
深大寺東町７丁目,995,1028,44,41,57,57,71,75,66,68,47,47,46,37,38,34,47,69,89,91,86,87,116,99,65,67,55,53,35,34,38,37,37,46,28,44,20,25,9,14,1,3,0,0,2023
深大寺東町８丁目,599,643,17,9,23,20,23,19,42,22,33,27,20,30,31,26,28,32,36,30,31,37,51,61,54,49,51,45,34,38,37,41,33,32,26,50,17,31,12,32,0,12,0,0,1242
深大寺南町１丁目,279,288,8,7,13,11,15,11,17,14,12,13,10,7,8,8,25,14,15,18,25,27,28,26,23,27,17,17,10,12,16,22,14,17,12,16,8,16,3,4,0,0,0,1,567
深大寺南町２丁目,288,279,8,12,13,11,18,13,18,15,22,19,12,6,11,7,20,15,25,16,17,20,26,30,26,18,22,23,9,15,13,13,9,18,11,12,5,11,3,5,0,0,0,0,567
深大寺南町３丁目,955,1021,15,16,35,35,78,98,117,101,44,57,28,36,17,24,23,15,42,62,115,165,141,117,97,91,57,48,50,39,30,33,29,26,16,27,11,20,7,10,3,1,0,0,1976
深大寺南町４丁目,330,331,10,12,17,17,21,20,17,15,12,13,21,7,18,17,18,13,25,28,28,28,28,25,21,19,16,20,17,14,11,20,15,18,18,23,12,15,5,4,0,2,0,1,661
深大寺南町５丁目,641,693,18,18,38,28,36,37,45,33,30,37,35,33,26,40,33,34,44,59,53,52,68,56,56,68,51,43,25,17,29,23,22,33,13,31,15,25,4,20,0,5,0,1,1334
八雲台１丁目,978,1006,33,32,41,42,51,44,47,37,55,50,54,64,59,55,45,75,85,68,79,77,101,79,71,70,61,50,33,47,51,42,47,58,33,43,25,41,6,20,1,8,0,4,1984
八雲台２丁目,477,434,22,13,14,17,10,15,21,14,49,28,40,31,48,38,32,38,33,23,34,30,40,33,34,38,23,26,20,16,18,20,14,16,10,15,9,12,5,6,1,4,0,1,911
