町丁,全世代（男）,全世代（女）,0～4歳（男）,0～4歳（女）,5～9歳（男）,5～9歳（女）,10～14歳（男）,10～14歳（女）,15～19歳（男）,15～19歳（女）,20～24歳（男）,20～24歳（女）,25～29歳（男）,25～29歳（女）,30～34歳（男）,30～34歳（女）,35～39歳（男）,35～39歳（女）,40～44歳（男）,40～44歳（女）,45～49歳（男）,45～49歳（女）,50～54歳（男）,50～54歳（女）,55～59歳（男）,55～59歳（女）,60～64歳（男）,60～64歳（女）,65～69歳（男）,65～69歳（女）,70～74歳（男）,70～74歳（女）,75～79歳（男）,75～79歳（女）,80～84歳（男）,80～84歳（女）,85～89歳（男）,85～89歳（女）,90～94歳（男）,90～94歳（女）,95～99歳（男）,95～99歳（女）,100歳以上（男）,100歳以上（女）,総数
市内全域,113491,120323,4194,3895,5002,4911,5084,4968,5199,4882,6428,6509,6972,7288,6783,6992,7186,7433,8570,8286,9179,9276,10251,10238,9058,8869,7335,7095,5352,5408,4969,5708,4954,6162,3523,5408,2210,3914,1043,2302,186,678,13,101,233814
飛田給１丁目,1578,1598,42,44,46,41,43,30,47,36,103,132,161,144,128,116,112,110,115,93,110,104,136,134,143,142,108,96,72,70,80,91,55,86,45,72,23,32,6,16,3,9,0,0,3176
飛田給２丁目,1407,1373,61,58,46,47,49,55,36,38,93,89,135,106,117,118,106,103,110,96,92,76,112,100,93,101,110,83,55,47,60,65,63,76,44,45,20,43,5,22,0,4,0,1,2780
飛田給３丁目,1055,985,36,27,45,46,59,42,59,50,54,69,61,53,66,44,59,59,80,66,69,61,108,107,82,65,67,55,45,39,43,46,38,49,39,55,35,31,8,13,2,7,0,1,2040
上石原１丁目,1508,1412,47,39,45,35,42,42,43,50,150,93,151,153,126,121,120,98,109,80,93,93,120,93,109,85,76,75,66,57,61,57,68,74,30,77,32,48,12,31,6,10,2,1,2920
上石原２丁目,1115,1100,36,25,50,49,44,22,45,38,62,81,82,92,83,55,54,70,90,67,90,87,87,66,78,85,65,66,57,57,50,53,64,64,42,46,23,39,11,29,2,8,0,1,2215
上石原３丁目,2470,2567,66,59,102,89,135,139,169,164,159,177,117,93,91,86,106,110,157,134,183,244,280,285,255,240,180,168,125,117,103,110,114,130,78,104,37,75,10,35,3,6,0,2,5037
富士見町１丁目,688,725,19,32,47,37,34,20,28,25,30,28,30,35,46,44,51,53,61,42,36,42,51,44,38,37,38,41,36,37,48,55,44,52,28,39,16,32,6,25,1,4,0,1,1413
富士見町２丁目,1322,1309,44,30,53,64,56,47,59,47,82,43,58,44,67,60,79,77,98,89,95,85,107,106,104,93,78,87,63,82,71,100,103,93,49,65,38,54,15,33,3,8,0,2,2631
富士見町３丁目,1355,1438,49,39,95,87,106,77,73,69,63,73,59,51,55,45,56,77,105,102,92,110,123,119,95,96,74,80,73,84,86,101,60,83,52,60,25,47,14,28,0,8,0,2,2793
富士見町４丁目,952,990,23,26,41,31,55,50,47,31,55,41,49,30,43,43,32,39,63,69,70,67,65,70,78,57,64,69,60,66,62,67,55,80,43,67,30,37,14,40,3,10,0,0,1942
下石原１丁目,1195,1205,53,50,36,45,26,43,44,49,73,58,124,120,118,91,95,88,87,78,74,85,86,83,60,80,71,74,70,50,58,54,56,53,38,46,17,26,6,24,3,8,0,0,2400
下石原２丁目,1237,1208,54,61,64,67,46,43,38,45,63,56,90,88,104,88,89,99,113,101,105,79,107,79,84,80,73,74,51,38,42,44,53,64,30,40,20,39,10,18,1,5,0,0,2445
下石原３丁目,1889,1911,84,79,108,97,81,63,66,75,112,80,122,98,98,107,146,125,158,143,149,146,149,156,160,122,121,116,95,94,72,113,70,86,50,74,26,67,20,47,1,21,1,2,3800
小島町１丁目,1540,1664,89,95,78,76,43,48,71,43,135,84,114,132,141,129,162,165,127,128,123,137,114,132,80,113,70,98,54,63,46,62,41,60,28,34,15,30,5,26,4,9,0,0,3204
小島町２丁目,1313,1446,50,38,37,36,31,43,31,40,74,62,128,116,118,98,83,118,107,93,99,101,98,95,82,96,97,105,67,74,60,75,60,76,37,56,34,65,19,47,1,12,0,0,2759
小島町３丁目,2273,2327,60,73,93,84,85,89,99,84,149,170,183,170,158,131,165,141,153,149,162,155,167,177,199,192,159,156,108,123,93,84,93,109,66,115,46,67,27,42,8,13,0,3,4600
布田１丁目,1177,1293,62,49,36,37,28,25,26,34,60,59,106,111,109,99,87,114,84,79,107,111,119,117,79,100,78,82,60,66,45,50,48,63,30,51,9,30,3,12,1,4,0,0,2470
布田２丁目,1468,1509,38,38,39,37,39,39,49,39,99,87,126,121,138,130,142,130,115,111,130,117,106,109,96,98,89,98,64,73,66,76,60,69,40,63,22,41,7,24,3,9,0,0,2977
布田３丁目,964,1027,42,24,26,43,26,21,23,11,43,63,84,78,80,83,75,82,79,67,80,69,86,98,66,64,68,65,49,55,55,58,28,49,32,45,14,23,8,20,0,8,0,1,1991
