町丁,全世代（男）,全世代（女）,0～4歳（男）,0～4歳（女）,5～9歳（男）,5～9歳（女）,10～14歳（男）,10～14歳（女）,15～19歳（男）,15～19歳（女）,20～24歳（男）,20～24歳（女）,25～29歳（男）,25～29歳（女）,30～34歳（男）,30～34歳（女）,35～39歳（男）,35～39歳（女）,40～44歳（男）,40～44歳（女）,45～49歳（男）,45～49歳（女）,50～54歳（男）,50～54歳（女）,55～59歳（男）,55～59歳（女）,60～64歳（男）,60～64歳（女）,65～69歳（男）,65～69歳（女）,70～74歳（男）,70～74歳（女）,75～79歳（男）,75～79歳（女）,80～84歳（男）,80～84歳（女）,85～89歳（男）,85～89歳（女）,90～94歳（男）,90～94歳（女）,95～99歳（男）,95～99歳（女）,100歳以上（男）,100歳以上（女）,総数
市内全域,113525,119740,4922,4775,5064,4933,4985,4704,4878,4732,6667,6966,7035,7332,7034,7237,8276,8239,9142,8887,10261,10120,9437,9236,8158,7736,5888,5688,5297,5624,6017,6858,4204,5701,3181,4827,2148,3693,770,1812,151,558,10,82,233265
飛田給１丁目,1539,1592,54,65,40,41,36,30,52,50,124,109,133,144,114,134,117,114,122,98,138,107,140,132,102,130,95,73,79,97,79,86,56,79,40,44,12,28,5,28,1,3,0,0,3131
飛田給２丁目,1372,1346,41,65,48,39,37,36,34,37,114,105,122,135,120,108,100,90,100,80,115,100,91,98,114,90,65,47,68,65,88,87,55,51,34,51,20,42,4,14,2,5,0,1,2718
飛田給３丁目,1083,1005,47,45,56,47,59,49,51,59,76,61,59,41,56,56,73,65,87,57,106,103,75,75,79,60,53,40,39,41,55,56,40,60,48,38,16,24,6,19,1,7,1,2,2088
上石原１丁目,1461,1461,56,58,46,37,28,44,37,39,104,113,138,149,132,125,121,103,106,98,124,103,122,76,93,80,73,66,74,61,83,78,39,78,46,64,24,56,11,26,4,7,0,0,2922
上石原２丁目,1099,1062,50,44,43,31,47,29,33,44,74,70,76,68,79,76,79,65,90,81,88,76,83,76,57,62,65,59,53,52,67,67,51,52,26,40,21,42,14,22,3,6,0,0,2161
上石原３丁目,2559,2630,71,70,116,120,171,167,177,178,172,148,97,78,105,95,120,119,173,219,288,295,275,269,219,191,146,128,111,115,135,144,82,114,56,96,28,58,14,18,3,8,0,0,5189
富士見町１丁目,693,672,32,30,33,17,35,23,24,27,38,26,43,35,38,39,65,38,41,39,44,50,48,39,46,42,42,35,50,54,48,53,32,45,21,28,8,30,5,18,0,3,0,1,1365
富士見町２丁目,1292,1311,39,51,49,41,42,40,65,44,90,48,62,70,75,73,96,74,88,86,96,96,100,82,79,84,73,73,66,105,120,110,57,80,48,63,33,54,12,24,2,13,0,0,2603
富士見町３丁目,1400,1459,79,72,102,73,73,61,63,62,77,93,52,60,66,49,108,110,103,111,114,105,106,101,80,88,77,94,79,80,82,100,55,72,41,51,26,47,13,21,4,7,0,2,2859
富士見町４丁目,1029,1026,34,30,59,44,48,45,44,31,69,58,53,43,38,39,69,50,63,68,75,72,73,56,81,71,50,61,64,62,71,82,49,66,47,57,26,55,14,28,2,7,0,1,2055
下石原１丁目,1174,1157,47,61,23,39,41,45,47,34,98,85,108,97,114,93,94,82,75,80,88,76,69,75,79,93,73,45,72,50,56,60,44,49,24,39,12,23,6,27,3,4,1,0,2331
下石原２丁目,1252,1198,77,74,46,62,36,37,40,32,73,58,100,103,100,98,126,98,112,94,107,87,81,81,85,75,63,48,42,43,64,59,42,48,26,48,25,32,7,17,0,3,0,1,2450
下石原３丁目,1879,1906,98,98,95,70,68,82,89,50,112,96,99,102,127,101,162,158,148,140,152,158,161,133,145,125,97,94,76,107,100,106,61,84,45,82,32,70,10,37,2,10,0,3,3785
小島町１丁目,1141,1210,54,59,53,57,40,29,48,26,110,89,92,72,101,101,90,94,110,113,101,99,70,112,71,73,37,55,55,53,45,65,34,26,15,27,7,30,8,21,0,7,0,2,2351
小島町２丁目,1367,1403,53,39,34,38,28,33,45,34,78,80,147,108,119,104,112,99,106,82,100,103,82,87,100,103,69,84,73,86,69,82,46,63,38,66,41,73,23,27,4,10,0,2,2770
小島町３丁目,2213,2266,86,77,78,71,78,79,85,90,165,181,172,173,167,144,143,136,158,133,165,162,192,192,174,174,126,120,98,104,118,109,74,115,62,89,50,65,19,36,3,14,0,2,4479
布田１丁目,1135,1289,52,38,29,30,24,28,32,36,64,92,107,115,102,115,101,88,108,107,106,110,94,109,81,89,66,66,55,65,51,66,35,55,16,46,5,24,5,9,2,1,0,0,2424
布田２丁目,1461,1536,45,40,39,49,32,35,42,35,104,112,139,131,134,144,134,121,127,112,115,118,106,104,109,104,70,69,78,78,80,85,46,68,29,54,19,51,13,21,0,5,0,0,2997
布田３丁目,969,1044,48,47,29,30,21,12,25,29,60,64,88,99,90,92,84,83,80,62,85,94,74,76,65,61,49,61,62,55,36,56,33,45,23,29,14,29,3,16,0,4,0,0,2013
布田４丁目,1296,1432,75,68,37,44,32,20,34,47,67,81,119,128,115,124,115,132,126,124,116,115,108,116,115,107,68,76,39,43,53,58,27,42,20,47,18,34,9,17,3,7,0,2,2728
布田５丁目,1136,1200,41,48,43,46,30,31,35,40,72,73,96,83,75,81,78,85,84,83,101,77,73,103,95,97,70,57,61,68,69,59,41,59,34,53,26,38,7,18,4,1,1,0,2336
