町丁,全世代（男）,全世代（女）,0～4歳（男）,0～4歳（女）,5～9歳（男）,5～9歳（女）,10～14歳（男）,10～14歳（女）,15～19歳（男）,15～19歳（女）,20～24歳（男）,20～24歳（女）,25～29歳（男）,25～29歳（女）,30～34歳（男）,30～34歳（女）,35～39歳（男）,35～39歳（女）,40～44歳（男）,40～44歳（女）,45～49歳（男）,45～49歳（女）,50～54歳（男）,50～54歳（女）,55～59歳（男）,55～59歳（女）,60～64歳（男）,60～64歳（女）,65～69歳（男）,65～69歳（女）,70～74歳（男）,70～74歳（女）,75～79歳（男）,75～79歳（女）,80～84歳（男）,80～84歳（女）,85～89歳（男）,85～89歳（女）,90～94歳（男）,90～94歳（女）,95～99歳（男）,95～99歳（女）,100歳以上（男）,100歳以上（女）,総数
布田６丁目,936,924,35,33,48,48,66,47,55,55,62,61,54,56,54,45,48,58,74,73,92,93,100,104,63,65,59,31,26,29,33,35,25,32,24,27,13,13,3,12,2,6,0,1,1860
国領町１丁目,1940,2085,102,63,56,54,60,54,53,54,115,156,186,183,163,172,177,180,153,178,189,176,149,142,132,126,88,81,79,94,91,107,60,102,50,76,23,52,13,23,1,11,0,1,4025
国領町２丁目,993,1080,49,52,33,35,42,33,51,42,83,93,69,89,82,78,83,84,73,70,90,110,83,97,73,62,52,50,42,53,34,37,22,34,16,31,12,18,4,8,0,3,0,1,2073
国領町３丁目,1539,2059,37,19,43,54,48,46,53,61,69,89,73,84,45,59,46,81,76,93,99,139,120,147,131,167,101,113,106,137,158,217,134,222,121,158,56,113,18,48,5,11,0,1,3598
国領町４丁目,1902,1984,110,100,98,111,92,76,64,62,101,142,135,140,134,150,180,186,199,174,180,183,170,145,111,109,70,89,69,70,68,80,53,57,35,64,24,29,7,11,2,4,0,2,3886
国領町５丁目,1820,1817,87,78,78,67,65,54,67,61,98,119,142,149,133,132,152,123,148,148,184,153,138,135,111,102,100,77,80,83,87,105,74,90,43,67,24,42,7,23,2,7,0,2,3637
国領町６丁目,589,642,21,25,32,23,21,28,26,36,28,53,42,39,42,31,48,42,53,45,63,67,61,47,30,33,35,32,17,22,23,31,16,27,14,19,11,27,4,8,2,6,0,1,1231
国領町７丁目,1691,1710,65,64,78,83,76,60,78,72,110,97,113,135,114,111,107,124,141,108,140,159,145,138,140,123,106,75,69,67,61,79,48,73,56,57,30,53,10,23,4,8,0,1,3401
国領町８丁目,2072,2639,54,71,87,108,124,140,128,116,77,91,73,73,63,80,85,99,143,166,242,285,197,186,154,173,97,122,106,154,161,209,106,164,84,170,69,122,19,71,3,31,0,8,4711
染地１丁目,938,1051,38,35,53,68,64,74,65,65,34,47,44,45,49,54,52,47,65,81,115,106,83,73,50,57,41,42,33,45,58,58,33,61,38,49,19,29,4,10,0,4,0,1,1989
染地２丁目,3539,3772,187,174,180,184,192,166,191,191,188,183,131,163,156,192,227,238,278,251,309,308,295,334,272,261,176,206,200,199,205,238,151,206,115,151,62,88,20,28,4,8,0,3,7311
染地３丁目,2907,3183,58,60,90,96,134,146,165,155,154,130,106,85,90,73,107,104,198,172,239,259,296,294,235,179,151,141,152,186,207,269,194,274,172,295,120,182,32,66,7,17,0,0,6090
多摩川１丁目,2436,2358,190,175,178,178,189,151,107,120,93,90,92,83,131,171,236,221,265,284,287,239,211,177,144,116,102,84,63,74,69,80,41,53,17,22,16,21,3,15,2,4,0,0,4794
多摩川２丁目,367,332,10,11,7,19,16,8,19,18,18,20,37,18,14,18,24,19,30,20,40,38,42,25,25,13,20,22,17,23,19,28,19,13,8,11,1,5,1,2,0,1,0,0,699
多摩川３丁目,2155,2070,71,46,102,102,128,115,154,120,145,98,115,104,112,98,129,135,164,174,212,202,221,191,122,112,104,101,96,90,108,121,77,90,58,77,28,53,9,32,0,8,0,1,4225
多摩川４丁目,457,435,15,16,18,18,22,24,16,16,39,37,43,40,31,27,33,22,40,30,45,41,42,28,25,25,22,25,20,18,17,14,10,19,12,15,5,10,1,9,1,1,0,0,892
多摩川５丁目,1481,1450,52,51,66,54,42,40,43,34,93,95,120,102,102,84,126,120,125,109,127,101,107,105,98,81,91,73,72,84,87,105,67,62,36,76,21,44,5,20,1,9,0,1,2931
多摩川６丁目,515,510,20,26,27,20,21,20,21,22,36,27,37,40,37,29,42,33,41,35,42,43,43,43,33,36,22,20,22,22,26,29,20,23,13,21,7,15,4,5,1,1,0,0,1025
多摩川７丁目,630,644,10,15,14,14,14,17,26,34,44,43,30,29,31,17,41,29,31,35,42,41,71,59,64,63,41,38,51,42,46,54,39,40,15,27,16,31,2,11,2,4,0,1,1274
佐須町１丁目,402,440,18,18,18,16,25,22,24,26,23,18,17,20,15,23,20,20,25,25,42,38,38,34,22,22,18,15,16,33,26,30,19,22,14,28,17,17,5,7,0,5,0,1,842
佐須町２丁目,638,639,15,17,36,33,37,30,43,36,34,24,28,33,39,32,36,32,40,40,63,55,54,51,48,41,30,31,24,31,36,41,34,38,21,32,10,23,9,11,1,8,0,0,1277
佐須町３丁目,585,652,27,21,25,28,35,31,25,26,35,35,23,33,28,23,30,33,40,52,50,51,48,55,46,48,38,35,26,33,38,39,35,32,8,44,21,19,7,11,0,3,0,0,1237
佐須町４丁目,1011,937,55,43,66,56,70,60,74,44,77,72,50,32,48,35,60,73,87,80,91,88,85,70,70,58,37,32,28,43,49,53,28,39,23,23,12,15,1,12,0,9,0,0,1948
佐須町５丁目,262,262,9,9,11,7,15,8,6,6,20,10,18,14,15,15,16,14,17,23,28,19,20,13,12,16,14,9,11,16,14,13,14,26,9,16,10,16,3,11,0,0,0,1,524
柴崎１丁目,1740,1798,64,47,57,62,71,67,81,79,99,113,115,132,92,117,117,97,117,118,166,159,157,136,135,137,113,98,103,106,107,116,64,71,40,58,33,44,9,32,0,7,0,2,3538
柴崎２丁目,2312,2506,113,105,130,128,122,127,111,118,122,118,65,93,106,105,133,141,206,198,215,237,185,195,180,160,119,133,119,146,155,149,85,126,68,107,53,76,21,30,4,10,0,4,4818
菊野台１丁目,1147,1286,51,46,32,23,23,40,46,38,73,102,99,136,102,128,102,104,98,114,98,102,99,99,80,75,65,51,45,42,52,64,35,39,20,31,23,26,4,20,0,6,0,0,2433
菊野台２丁目,1474,1606,49,58,60,58,48,39,49,52,94,139,116,162,124,124,109,108,108,110,135,113,117,107,105,95,87,77,71,67,73,93,49,63,36,63,25,47,18,22,1,7,0,2,3080
菊野台３丁目,2030,1919,87,61,105,91,121,103,99,105,134,114,195,121,107,97,124,125,161,169,201,237,190,180,124,89,80,79,90,70,74,91,72,65,27,47,31,42,7,25,1,8,0,0,3949
東つつじケ丘１丁目,403,411,12,15,9,11,11,10,6,17,33,44,41,43,41,37,39,44,36,26,46,34,26,27,23,17,13,13,21,16,17,13,12,11,8,10,7,15,2,5,0,3,0,0,814
東つつじケ丘２丁目,1170,1226,57,39,54,45,40,40,32,44,60,75,102,93,88,86,97,106,90,102,98,99,95,86,85,83,76,65,50,59,62,72,43,55,18,29,14,30,6,13,3,5,0,0,2396
東つつじケ丘３丁目,1104,1113,51,56,71,57,49,54,33,31,59,56,69,64,66,71,83,104,103,82,99,93,76,78,98,72,57,52,45,55,58,55,37,48,32,38,14,26,3,19,1,1,0,1,2217
西つつじケ丘１丁目,2391,2527,120,123,94,114,97,93,81,81,158,173,172,183,170,168,189,188,222,204,195,219,200,196,167,173,137,102,111,114,107,125,70,100,54,86,35,56,9,21,3,7,0,1,4918
西つつじケ丘２丁目,813,980,39,49,27,47,39,35,26,34,43,52,29,61,54,60,71,73,57,68,80,82,57,63,62,65,52,47,39,50,36,46,29,54,32,39,24,33,14,16,0,4,3,2,1793
西つつじケ丘３丁目,1189,1403,58,59,44,30,19,17,17,41,71,152,116,171,123,167,129,129,123,118,103,101,77,83,82,78,62,57,50,50,57,49,26,35,17,29,8,24,5,10,2,3,0,0,2592
西つつじケ丘４丁目,2605,2792,97,79,100,89,95,80,76,82,82,125,138,161,138,160,179,181,205,216,241,220,221,193,198,170,145,139,144,117,172,215,135,186,125,205,96,121,16,41,2,11,0,1,5397
入間町１丁目,1582,1695,60,63,73,59,52,77,68,66,90,85,102,72,91,96,123,118,115,119,119,132,127,125,123,113,93,105,91,76,86,109,57,97,61,69,29,71,21,33,1,10,0,0,3277
入間町２丁目,1830,1981,130,132,147,128,73,75,81,74,81,74,64,70,95,112,179,188,183,159,148,156,142,129,111,121,77,96,75,98,86,103,66,98,39,65,35,65,15,34,3,4,0,0,3811
入間町３丁目,922,1001,71,67,49,39,41,26,32,29,51,53,41,72,72,74,76,88,78,83,65,72,76,80,66,57,44,46,41,44,47,50,31,38,20,34,14,25,6,16,1,7,0,1,1923
仙川町１丁目,1292,1592,52,38,38,39,30,24,28,38,75,125,105,159,118,163,114,145,128,141,108,130,115,111,83,109,56,63,62,72,63,76,54,53,30,45,24,36,5,23,4,2,0,0,2884
仙川町２丁目,1345,1683,137,131,70,80,36,44,34,34,63,116,88,133,106,188,178,193,144,140,128,127,74,107,91,88,52,72,52,52,33,48,16,43,20,38,16,31,4,15,3,3,0,0,3028
仙川町３丁目,728,883,55,39,43,34,21,21,21,21,37,52,59,95,65,93,74,99,79,93,70,81,51,64,49,39,27,29,23,27,15,16,16,24,16,20,6,18,0,14,1,3,0,1,1611
緑ケ丘１丁目,1085,1214,30,52,35,40,41,39,35,40,62,63,65,83,73,64,88,86,83,86,96,86,90,78,73,81,57,66,63,65,63,75,45,78,40,62,30,44,15,19,1,7,0,0,2299
緑ケ丘２丁目,2021,2448,93,115,94,92,73,97,93,92,105,112,80,110,114,118,140,172,168,156,166,182,180,171,162,153,99,100,75,97,94,162,78,143,84,156,89,138,29,61,5,16,0,5,4469
野水１丁目,53,56,1,2,1,3,3,4,5,5,7,1,2,1,2,0,3,1,3,7,10,4,4,6,1,8,3,2,2,2,1,4,3,2,1,2,1,0,0,1,0,1,0,0,109
野水２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西町,48,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,6,13,6,6,9,1,3,3,3,3,2,2,11,6,6,5,10,0,23,0,12,0,1,142
若葉町１丁目,1267,1418,47,52,54,60,64,45,70,57,60,71,71,91,71,79,80,116,101,101,123,118,109,111,98,87,59,78,63,59,79,82,41,68,38,55,23,46,12,32,4,10,0,0,2685
若葉町２丁目,1061,1219,35,25,33,40,27,28,38,46,76,90,87,96,76,94,78,84,74,86,85,102,91,96,99,109,65,50,42,47,53,74,45,56,29,45,15,31,12,15,0,5,1,0,2280
若葉町３丁目,595,642,23,36,31,38,36,29,34,30,48,56,49,47,37,38,58,52,46,53,40,54,47,45,49,38,26,35,19,16,21,18,8,18,7,14,10,12,5,9,1,4,0,0,1237
調布ケ丘１丁目,936,985,49,47,34,45,34,35,44,46,64,50,57,61,76,59,63,69,75,58,75,83,64,80,68,63,55,48,48,59,63,64,36,45,12,29,16,25,2,13,1,5,0,1,1921
調布ケ丘２丁目,907,867,33,24,26,25,21,32,50,22,76,80,82,76,77,51,64,53,65,67,68,54,78,82,64,57,53,46,32,36,47,44,24,42,22,27,17,30,6,13,2,4,0,2,1774
調布ケ丘３丁目,2466,2615,124,151,132,132,107,119,113,126,141,141,116,139,140,141,186,202,200,204,226,222,228,250,233,217,144,129,111,113,112,118,73,82,46,49,22,49,9,24,3,5,0,2,5081
調布ケ丘４丁目,679,631,27,21,17,21,28,21,43,29,44,41,48,46,56,47,46,38,55,43,49,60,64,49,44,48,39,32,25,21,35,33,24,22,19,27,11,18,5,11,0,3,0,0,1310
深大寺元町１丁目,567,561,16,12,20,20,20,16,24,21,24,17,31,16,23,18,36,33,48,34,44,44,33,31,36,36,33,38,38,35,51,66,44,41,24,36,16,30,5,13,1,3,0,1,1128
深大寺元町２丁目,354,394,16,18,18,26,33,19,14,17,16,16,14,22,14,21,26,23,29,27,29,44,41,34,25,26,20,13,17,19,20,17,6,17,8,22,5,9,3,3,0,1,0,0,748
深大寺元町３丁目,546,631,29,29,27,41,28,35,42,30,18,19,22,11,18,22,38,37,32,40,55,56,49,57,36,44,30,36,33,25,23,32,25,40,21,23,15,38,5,14,0,2,0,0,1177
深大寺元町４丁目,620,664,17,25,34,36,41,34,33,28,33,27,22,29,21,24,39,26,47,53,52,54,59,55,47,53,47,32,27,34,34,37,27,30,23,32,14,32,2,23,1,0,0,0,1284
深大寺元町５丁目,208,177,7,4,4,12,6,7,12,9,13,10,10,2,9,8,13,12,15,11,24,19,24,11,11,13,15,7,6,11,14,10,12,11,7,13,5,4,1,2,0,0,0,1,385
深大寺北町１丁目,492,488,21,22,23,20,21,18,25,31,27,28,25,22,26,24,31,31,49,36,53,48,39,43,38,26,22,22,24,30,36,31,16,16,9,22,6,13,1,4,0,1,0,0,980
深大寺北町２丁目,344,322,16,18,18,8,15,15,15,9,17,29,16,14,26,17,21,28,27,19,38,23,28,28,25,20,20,15,16,13,19,23,11,20,8,11,8,7,0,5,0,0,0,0,666
深大寺北町３丁目,316,316,12,18,13,14,22,22,22,14,19,15,16,18,18,19,23,27,33,22,33,27,24,33,20,16,13,14,12,9,12,16,9,9,7,7,6,7,2,9,0,0,0,0,632
深大寺北町４丁目,544,539,23,24,35,21,21,41,26,23,28,26,29,23,22,24,35,33,50,40,55,46,41,37,41,41,33,28,27,22,25,37,23,26,17,22,9,13,4,7,0,4,0,1,1083
深大寺北町５丁目,517,557,18,25,28,26,26,32,29,28,27,32,31,27,23,34,39,46,48,44,64,46,38,40,39,34,21,22,18,20,25,27,12,28,16,21,9,16,5,5,1,4,0,0,1074
深大寺北町６丁目,986,1072,45,40,69,62,60,56,32,41,32,45,26,41,62,54,85,76,85,85,90,95,73,68,57,67,46,53,58,54,59,77,52,45,23,40,20,44,11,24,1,5,0,0,2058
深大寺北町７丁目,565,571,46,38,34,34,31,31,18,29,27,26,43,37,43,50,48,31,47,50,42,49,49,49,43,30,18,21,10,10,23,21,17,26,14,24,9,9,2,5,1,1,0,0,1136
深大寺東町１丁目,718,642,33,28,43,36,37,41,36,23,32,42,34,38,37,29,46,47,59,52,75,67,64,54,55,41,33,28,35,24,41,33,22,20,24,22,7,10,4,5,1,2,0,0,1360
深大寺東町２丁目,448,451,19,20,31,22,35,29,19,25,33,30,26,20,10,19,24,28,46,37,48,42,44,37,31,26,18,20,20,18,15,22,10,20,11,16,7,13,1,4,0,3,0,0,899
深大寺東町３丁目,722,744,35,24,34,37,48,37,46,42,36,47,27,29,27,30,43,34,56,52,63,79,57,56,51,46,45,34,33,35,47,48,25,29,18,32,22,34,7,11,1,8,1,0,1466
深大寺東町４丁目,754,744,37,31,44,37,49,44,35,47,51,52,32,35,40,38,46,42,60,56,66,65,83,59,47,54,33,28,37,31,32,43,26,32,19,16,14,21,3,10,0,3,0,0,1498
深大寺東町５丁目,641,615,22,27,27,27,37,32,30,33,47,30,40,43,31,24,47,42,50,31,61,51,51,54,44,49,34,31,36,23,31,32,18,33,27,26,5,17,2,7,0,3,1,0,1256
深大寺東町６丁目,892,969,28,23,30,29,35,34,36,34,47,46,33,35,45,35,50,49,54,51,77,80,81,91,85,66,40,59,53,48,59,68,40,69,37,67,44,53,16,24,2,7,0,1,1861
深大寺東町７丁目,993,1025,48,59,81,73,60,70,47,54,45,39,41,40,50,57,74,85,100,89,117,100,64,66,57,51,43,40,36,40,53,50,34,46,23,30,16,27,3,8,0,1,1,0,2018
深大寺東町８丁目,634,660,17,15,26,18,35,17,33,23,34,36,30,29,28,26,39,34,38,29,48,51,49,57,57,45,37,44,39,41,38,38,28,47,25,36,20,39,11,25,2,9,0,1,1294
深大寺南町１丁目,283,290,9,9,18,9,14,18,15,14,17,11,10,12,18,18,14,11,18,17,26,26,24,28,20,15,16,15,13,21,18,22,16,16,8,12,5,11,3,1,1,4,0,0,573
深大寺南町２丁目,323,286,8,10,18,13,24,14,23,15,23,9,15,9,13,14,22,15,18,11,22,35,32,22,29,27,13,21,12,12,13,18,12,9,13,16,9,12,3,2,1,1,0,1,609
深大寺南町３丁目,998,1057,20,24,72,84,125,109,59,76,40,47,26,25,24,10,25,50,113,156,140,129,110,106,69,57,43,44,39,40,40,30,22,27,11,22,16,16,4,4,0,1,0,0,2055
深大寺南町４丁目,336,309,10,11,20,16,22,18,8,9,21,5,14,11,17,9,26,19,25,28,30,28,24,22,18,17,21,19,11,16,19,23,21,22,14,21,9,6,3,6,3,3,0,0,645
深大寺南町５丁目,689,727,40,30,38,36,53,27,29,32,27,54,35,37,29,36,51,57,48,48,74,57,59,66,58,50,30,27,29,22,26,41,28,33,21,29,10,24,2,14,2,6,0,1,1416
八雲台１丁目,1012,1010,34,35,44,31,44,48,46,40,72,52,86,74,58,66,77,69,75,77,92,68,70,74,54,55,43,49,61,41,59,66,41,47,32,42,19,41,4,23,1,9,0,3,2022
八雲台２丁目,473,448,17,23,13,13,17,14,22,12,36,31,48,39,27,34,44,28,36,37,46,26,32,40,26,33,23,20,23,19,24,24,13,19,13,14,7,16,4,3,2,3,0,0,921
