町丁,男性,女性,総人口,世帯数
深大寺北町７丁目　　　　　　　　　　　　                    ,592,610,1202,513
深大寺東町１丁目　　　　　　　　　　　　                    ,668,635,1303,595
深大寺東町２丁目　　　　　　　　　　　　                    ,433,457,890,380
深大寺東町３丁目　　　　　　　　　　　　                    ,810,861,1671,702
深大寺東町４丁目　　　　　　　　　　　　                    ,730,720,1450,625
深大寺東町５丁目　　　　　　　　　　　　                    ,661,647,1308,612
深大寺東町６丁目　　　　　　　　　　　　                    ,876,972,1848,909
深大寺東町７丁目　　　　　　　　　　　　                    ,1016,1040,2056,854
深大寺東町８丁目　　　　　　　　　　　　                    ,624,660,1284,668
深大寺南町１丁目　　　　　　　　　　　　                    ,287,297,584,264
深大寺南町２丁目　　　　　　　　　　　　                    ,300,283,583,240
深大寺南町３丁目　　　　　　　　　　　　                    ,984,1041,2025,768
深大寺南町４丁目　　　　　　　　　　　　                    ,323,315,638,309
深大寺南町５丁目　　　　　　　　　　　　                    ,678,712,1390,625
八雲台１丁目　　　　　　　　　　　　　　                    ,1018,1052,2070,1113
八雲台２丁目　　　　　　　　　　　　　　                    ,496,468,964,555
